logical_character_id,category,display_name,assembly_count,assembly_ids,visual_variants,states,unique_mesh_count,unique_skeleton_count,animation_count_all_unique,animation_count_core_unique,texture_count_unique
Hero/Ashley,Hero,Ashley,3,Hero/Ashley/Default/Combat|Hero/Ashley/Default/Show|Hero/Ashley/World/Combat,Default|World,Combat|Show,18,9,876,808,148
Hero/Bentham,Hero,Bentham,2,Hero/Bentham/Default/Combat|Hero/Bentham/Default/Show,Default,Combat|Show,8,4,889,777,62
Hero/Cynthia,Hero,Cynthia,2,Hero/Cynthia/Default/Combat|Hero/Cynthia/Default/Show,Default,Combat|Show,13,8,1892,998,100
Hero/Firtho,Hero,Firtho,2,Hero/Firtho/Default/Combat|Hero/Firtho/Default/Show,Default,Combat|Show,6,3,2014,848,49
Hero/Gratia,Hero,Gratia,2,Hero/Gratia/Default/Combat|Hero/Gratia/Default/Show,Default,Combat|Show,9,5,1411,801,86
Hero/Grimm,Hero,Grimm,2,Hero/Grimm/Default/Combat|Hero/Grimm/Default/Show,Default,Combat|Show,13,8,1023,823,53
Hero/Guna,Hero,Guna,2,Hero/Guna/Default/Combat|Hero/Guna/Default/Show,Default,Combat|Show,9,4,509,464,64
Hero/Hugin,Hero,Hugin,2,Hero/Hugin/Default/Combat|Hero/Hugin/Default/Show,Default,Combat|Show,11,4,7586,989,70
Hero/Lisa,Hero,Lisa,2,Hero/Lisa/Default/Combat|Hero/Lisa/Default/Show,Default,Combat|Show,14,10,587,499,74
Hero/Lorin,Hero,Lorin,2,Hero/Lorin/Default/Combat|Hero/Lorin/Default/Show,Default,Combat|Show,7,3,2019,860,59
Hero/Munin,Hero,Munin,2,Hero/Munin/Default/Combat|Hero/Munin/Default/Show,Default,Combat|Show,16,9,9329,1191,88
Hero/Rex,Hero,Rex,2,Hero/Rex/Default/Combat|Hero/Rex/Default/Show,Default,Combat|Show,7,1,1001,718,54
Hero/Rosy,Hero,Rosy,2,Hero/Rosy/Default/Combat|Hero/Rosy/Default/Show,Default,Combat|Show,21,15,1651,842,82
Mob/Bayonet/MaidBayonet,Mob,MaidBayonet,1,Mob/Bayonet/MaidBayonet/Default,Default,Default,6,5,258,223,40
Mob/CandleMob/CandleStub,Mob,CandleStub,1,Mob/CandleMob/CandleStub/Default,Default,Default,1,1,42,42,4
Mob/CandleMob/Candleman,Mob,Candleman,1,Mob/CandleMob/Candleman/Default,Default,Default,3,3,363,103,18
Mob/Cargo/CargoProtector,Mob,CargoProtector,1,Mob/Cargo/CargoProtector/Default,Default,Default,1,1,82,82,4
Mob/ChastDefault/Chastener,Mob,Chastener,1,Mob/ChastDefault/Chastener/Default,Default,Default,1,1,117,117,14
Mob/Chav/ChavChubby,Mob,ChavChubby,1,Mob/Chav/ChavChubby/Default,Default,Default,1,1,127,127,21
Mob/Cicada,Mob,Cicada,1,Mob/Cicada/Default,Default,Default,2,2,0,0,8
Mob/Debt/DebtCollector,Mob,DebtCollector,1,Mob/Debt/DebtCollector/Default,Default,Default,2,2,123,121,19
Mob/DroneDefault,Mob,DroneDefault,1,Mob/DroneDefault/Default,Default,Default,2,2,79,79,8
Mob/Female/EnforcerFemale,Mob,EnforcerFemale,1,Mob/Female/EnforcerFemale/Default,Default,Default,3,3,126,126,21
Mob/Female/EnforcerIron,Mob,EnforcerIron,1,Mob/Female/EnforcerIron/Default,Default,Default,2,2,113,113,23
Mob/Female/HoodieWoman,Mob,HoodieWoman,1,Mob/Female/HoodieWoman/Default,Default,Default,3,2,231,231,25
Mob/Fish/SilverFish,Mob,SilverFish,8,Mob/Fish/SilverFish/Default|Mob/Fish/SilverFishEletrical/Default|Mob/Fish/SilverFishFallout/Default|Mob/Fish/SilverFishFire/Default|Mob/Fish/SilverFishGravity/Default|Mob/Fish/SilverFishIce/Default|Mob/Fish/SilverFishRust/Default|Mob/Fish/SilverFishSilver/Default,SilverFish|SilverFishEletrical|SilverFishFallout|SilverFishFire|SilverFishGravity|SilverFishIce|SilverFishRust|SilverFishSilver,Default,8,1,66,66,54
Mob/Guard/GuardKnight,Mob,GuardKnight,1,Mob/Guard/GuardKnight/Default,Default,Default,2,2,145,97,11
Mob/Harpy/HarpyDefault,Mob,HarpyDefault,1,Mob/Harpy/HarpyDefault/Default,Default,Default,1,1,90,76,13
Mob/Male/Butler,Mob,Butler,1,Mob/Male/Butler/Default,Default,Default,5,3,134,110,23
Mob/Male/Enforcer,Mob,Enforcer,1,Mob/Male/Enforcer/Default,Default,Default,10,9,378,290,38
Mob/Male/EnforcerLeader,Mob,EnforcerLeader,1,Mob/Male/EnforcerLeader/Default,Default,Default,3,2,131,103,13
Mob/Male/HoodieLeader,Mob,HoodieLeader,1,Mob/Male/HoodieLeader/Default,Default,Default,5,3,102,102,26
Mob/Male/HoodieMan,Mob,HoodieMan,1,Mob/Male/HoodieMan/Default,Default,Default,3,2,240,239,18
Mob/Male/Ork,Mob,Ork,1,Mob/Male/Ork/Default,Default,Default,7,4,101,101,12
Mob/Male/Thug,Mob,Thug,1,Mob/Male/Thug/Default,Default,Default,5,3,207,112,23
Mob/Male/TraineeKnight,Mob,TraineeKnight,1,Mob/Male/TraineeKnight/Default,Default,Default,4,4,394,159,20
Mob/Manhole/ManholeCover,Mob,ManholeCover,1,Mob/Manhole/ManholeCover/Default,Default,Default,2,2,19,19,6
Mob/RabiesFemale/RabiesMaba,Mob,RabiesMaba,1,Mob/RabiesFemale/RabiesMaba/Default,Default,Default,2,2,109,109,28
Mob/RabiesMale/RabiesPaba,Mob,RabiesPaba,1,Mob/RabiesMale/RabiesPaba/Default,Default,Default,1,1,105,105,28
Mob/Shield/MaidShield,Mob,MaidShield,1,Mob/Shield/MaidShield/Default,Default,Default,6,6,142,120,45
Mob/WaxMaskMan/WaxMaskMale,Mob,WaxMaskMale,1,Mob/WaxMaskMan/WaxMaskMale/Default,Default,Default,1,1,215,79,20
Mob/WaxMaskWoman/WaxMaskFemale,Mob,WaxMaskFemale,1,Mob/WaxMaskWoman/WaxMaskFemale/Default,Default,Default,2,2,158,84,19
Mob/Werewolf/WerewolfDefault,Mob,WerewolfDefault,1,Mob/Werewolf/WerewolfDefault/Default,Default,Default,1,1,187,92,19
NPC/Class_A/201005,NPC,201005,1,NPC/Class_A/201005/Default,Default,Default,3,1,38,1,27
NPC/Class_A/201016,NPC,201016,1,NPC/Class_A/201016/Default,Default,Default,4,1,0,0,32
NPC/Class_A/203016,NPC,203016,1,NPC/Class_A/203016/Default,Default,Default,1,1,5,2,6
NPC/Class_A/203017,NPC,203017,1,NPC/Class_A/203017/Default,Default,Default,1,1,4,2,6
NPC/Class_A/203018,NPC,203018,1,NPC/Class_A/203018/Default,Default,Default,1,1,0,0,4
NPC/Class_A/210001,NPC,210001,1,NPC/Class_A/210001/Default,Default,Default,4,1,76,41,37
NPC/Class_A/210002,NPC,210002,1,NPC/Class_A/210002/Default,Default,Default,4,1,105,53,37
NPC/Class_A/210003,NPC,210003,1,NPC/Class_A/210003/Default,Default,Default,3,1,85,35,35
NPC/Class_A/210004,NPC,210004,1,NPC/Class_A/210004/Default,Default,Default,4,1,78,41,39
NPC/Class_A/210005,NPC,210005,1,NPC/Class_A/210005/Default,Default,Default,4,1,90,1,38
NPC/Class_A/210006,NPC,210006,1,NPC/Class_A/210006/Default,Default,Default,3,1,45,0,32
NPC/Class_A/210007,NPC,210007,1,NPC/Class_A/210007/Default,Default,Default,4,1,112,41,35
NPC/Class_A/210008,NPC,210008,1,NPC/Class_A/210008/Default,Default,Default,4,1,120,0,36
NPC/Class_A/210009,NPC,210009,1,NPC/Class_A/210009/Default,Default,Default,3,1,68,41,31
NPC/Class_A/210010,NPC,210010,1,NPC/Class_A/210010/Default,Default,Default,3,1,38,0,32
NPC/Class_A/210011,NPC,210011,1,NPC/Class_A/210011/Default,Default,Default,3,1,45,0,27
NPC/Class_A/210012,NPC,210012,1,NPC/Class_A/210012/Default,Default,Default,3,1,35,1,27
NPC/Class_A/210013,NPC,210013,1,NPC/Class_A/210013/Default,Default,Default,3,1,113,16,27
NPC/Class_A/210014,NPC,210014,1,NPC/Class_A/210014/Default,Default,Default,4,1,54,0,34
NPC/Class_A/210015,NPC,210015,1,NPC/Class_A/210015/Default,Default,Default,4,1,35,0,33
NPC/Class_A/210016,NPC,210016,1,NPC/Class_A/210016/Default,Default,Default,3,1,42,0,34
NPC/Class_A/210017,NPC,210017,1,NPC/Class_A/210017/Default,Default,Default,3,1,36,1,27
NPC/Class_A/210018,NPC,210018,1,NPC/Class_A/210018/Default,Default,Default,1,1,18,3,8
NPC/Class_A/210019,NPC,210019,1,NPC/Class_A/210019/Default,Default,Default,4,1,27,0,32
NPC/Class_A/210020,NPC,210020,1,NPC/Class_A/210020/Default,Default,Default,4,1,138,138,36
NPC/Class_A/210021,NPC,210021,1,NPC/Class_A/210021/Default,Default,Default,4,1,5,0,38
NPC/Class_A/210022,NPC,210022,1,NPC/Class_A/210022/Default,Default,Default,3,1,52,4,33
NPC/Class_A/210023,NPC,210023,1,NPC/Class_A/210023/Default,Default,Default,4,1,2,0,37
NPC/Class_A/210024,NPC,210024,1,NPC/Class_A/210024/Default,Default,Default,3,1,12,0,27
NPC/Class_A/210025,NPC,210025,1,NPC/Class_A/210025/Default,Default,Default,3,1,188,0,32
NPC/Class_A/210026,NPC,210026,1,NPC/Class_A/210026/Default,Default,Default,3,1,53,1,31
NPC/Class_A/210027,NPC,210027,1,NPC/Class_A/210027/Default,Default,Default,3,1,15,2,33
NPC/Class_A/210028,NPC,210028,1,NPC/Class_A/210028/Default,Default,Default,4,1,30,0,36
NPC/Class_A/210029,NPC,210029,1,NPC/Class_A/210029/Default,Default,Default,3,1,21,0,32
NPC/Class_A/210030,NPC,210030,1,NPC/Class_A/210030/Default,Default,Default,3,1,3,0,34
NPC/Class_A/210031,NPC,210031,1,NPC/Class_A/210031/Default,Default,Default,3,1,2,2,34
NPC/Class_A/210032,NPC,210032,1,NPC/Class_A/210032/Default,Default,Default,3,1,24,0,29
NPC/Class_A/210033,NPC,210033,1,NPC/Class_A/210033/Default,Default,Default,3,1,28,0,28
NPC/Class_A/210034,NPC,210034,1,NPC/Class_A/210034/Default,Default,Default,4,1,117,0,37
NPC/Class_A/210035,NPC,210035,1,NPC/Class_A/210035/Default,Default,Default,4,1,77,11,35
NPC/Class_A/210036,NPC,210036,1,NPC/Class_A/210036/Default,Default,Default,4,1,0,0,36
NPC/Class_A/210037,NPC,210037,1,NPC/Class_A/210037/Default,Default,Default,3,1,14,10,32
NPC/Class_A/210038,NPC,210038,1,NPC/Class_A/210038/Default,Default,Default,4,1,14,11,37
NPC/Class_A/210039,NPC,210039,1,NPC/Class_A/210039/Default,Default,Default,4,1,2,2,36
NPC/Class_A/210040,NPC,210040,1,NPC/Class_A/210040/Default,Default,Default,3,1,13,10,35
NPC/Class_A/210041,NPC,210041,1,NPC/Class_A/210041/Default,Default,Default,3,1,35,35,27
NPC/Class_A/210042,NPC,210042,1,NPC/Class_A/210042/Default,Default,Default,3,1,43,43,35
NPC/Class_A/210043,NPC,210043,1,NPC/Class_A/210043/Default,Default,Default,3,1,35,35,31
NPC/Class_A/210044,NPC,210044,1,NPC/Class_A/210044/Default,Default,Default,3,1,9,0,24
NPC/Class_A/210045,NPC,210045,1,NPC/Class_A/210045/Default,Default,Default,4,1,8,2,36
NPC/Class_A/210046,NPC,210046,1,NPC/Class_A/210046/Default,Default,Default,4,1,45,36,37
NPC/Class_A/210047,NPC,210047,1,NPC/Class_A/210047/Default,Default,Default,4,1,3,3,36
NPC/Class_A/210048,NPC,210048,1,NPC/Class_A/210048/Default,Default,Default,4,1,10,0,36
NPC/Class_A/210049,NPC,210049,1,NPC/Class_A/210049/Default,Default,Default,4,1,2,2,36
NPC/Class_A/210050,NPC,210050,1,NPC/Class_A/210050/Default,Default,Default,4,1,15,2,35
NPC/Class_A/210051,NPC,210051,1,NPC/Class_A/210051/Default,Default,Default,3,1,35,35,29
NPC/Class_A/210052,NPC,210052,1,NPC/Class_A/210052/Default,Default,Default,3,1,10,1,32
NPC/Class_A/210053,NPC,210053,1,NPC/Class_A/210053/Default,Default,Default,4,1,8,2,36
NPC/Class_A/210054,NPC,210054,1,NPC/Class_A/210054/Default,Default,Default,3,1,2,2,31
NPC/Class_A/210055,NPC,210055,1,NPC/Class_A/210055/Default,Default,Default,3,1,69,1,32
NPC/Class_A/210056,NPC,210056,1,NPC/Class_A/210056/Default,Default,Default,3,1,0,0,32
NPC/Class_A/210057,NPC,210057,1,NPC/Class_A/210057/Default,Default,Default,3,1,2,2,32
NPC/Class_A/210058,NPC,210058,1,NPC/Class_A/210058/Default,Default,Default,4,1,21,0,31
NPC/Class_A/210059,NPC,210059,1,NPC/Class_A/210059/Default,Default,Default,1,1,2,2,10
NPC/Class_A/210060,NPC,210060,1,NPC/Class_A/210060/Default,Default,Default,3,1,10,2,31
NPC/Class_A/210061,NPC,210061,1,NPC/Class_A/210061/Default,Default,Default,4,1,42,42,29
NPC/Class_A/210062,NPC,210062,1,NPC/Class_A/210062/Default,Default,Default,3,1,2,2,33
NPC/Class_A/210063,NPC,210063,1,NPC/Class_A/210063/Default,Default,Default,4,1,43,43,36
NPC/Class_A/210064,NPC,210064,1,NPC/Class_A/210064/Default,Default,Default,4,1,1,0,24
NPC/Class_A/210065,NPC,210065,1,NPC/Class_A/210065/Default,Default,Default,4,1,72,3,35
NPC/Class_A/210066,NPC,210066,1,NPC/Class_A/210066/Default,Default,Default,4,1,6,6,37
NPC/Class_A/210067,NPC,210067,1,NPC/Class_A/210067/Default,Default,Default,3,1,17,0,32
NPC/Class_A/210068,NPC,210068,1,NPC/Class_A/210068/Default,Default,Default,3,1,9,2,30
NPC/Class_A/210069,NPC,210069,1,NPC/Class_A/210069/Default,Default,Default,3,1,2,2,24
NPC/Class_A/210070,NPC,210070,1,NPC/Class_A/210070/Default,Default,Default,3,1,0,0,32
NPC/Class_A/210071,NPC,210071,1,NPC/Class_A/210071/Default,Default,Default,3,1,0,0,30
NPC/Class_A/210072,NPC,210072,1,NPC/Class_A/210072/Default,Default,Default,4,1,11,0,35
NPC/Class_A/210073,NPC,210073,1,NPC/Class_A/210073/Default,Default,Default,4,1,51,3,36
NPC/Class_A/210074,NPC,210074,1,NPC/Class_A/210074/Default,Default,Default,1,1,0,0,14
NPC/Class_A/210075,NPC,210075,1,NPC/Class_A/210075/Default,Default,Default,3,1,74,1,32
NPC/Class_A/210076,NPC,210076,1,NPC/Class_A/210076/Default,Default,Default,4,1,45,44,36
NPC/Class_A/210077,NPC,210077,1,NPC/Class_A/210077/Default,Default,Default,4,1,48,44,36
NPC/Class_A/210078,NPC,210078,1,NPC/Class_A/210078/Default,Default,Default,4,1,43,43,35
NPC/Class_A/210079,NPC,210079,1,NPC/Class_A/210079/Default,Default,Default,1,1,0,0,13
NPC/Class_A/210080,NPC,210080,1,NPC/Class_A/210080/Default,Default,Default,4,1,46,1,36
NPC/Class_A/210081,NPC,210081,1,NPC/Class_A/210081/Default,Default,Default,3,1,49,49,26
NPC/Class_A/210082,NPC,210082,1,NPC/Class_A/210082/Default,Default,Default,3,1,49,49,23
NPC/Class_A/210083,NPC,210083,1,NPC/Class_A/210083/Default,Default,Default,4,1,43,43,32
NPC/Class_A/210084,NPC,210084,1,NPC/Class_A/210084/Default,Default,Default,4,1,5,2,36
NPC/Class_A/210085,NPC,210085,1,NPC/Class_A/210085/Default,Default,Default,3,1,7,2,33
NPC/Class_A/210086,NPC,210086,1,NPC/Class_A/210086/Default,Default,Default,4,1,2,2,35
NPC/Class_A/210087,NPC,210087,1,NPC/Class_A/210087/Default,Default,Default,4,1,35,35,33
NPC/Class_A/210088,NPC,210088,1,NPC/Class_A/210088/Default,Default,Default,3,1,39,39,27
NPC/Class_A/210089,NPC,210089,1,NPC/Class_A/210089/Default,Default,Default,3,1,2,2,32
NPC/Class_A/210090,NPC,210090,1,NPC/Class_A/210090/Default,Default,Default,3,1,2,2,27
NPC/Class_A/210091,NPC,210091,1,NPC/Class_A/210091/Default,Default,Default,3,1,3,3,26
NPC/Class_A/210092,NPC,210092,1,NPC/Class_A/210092/Default,Default,Default,3,1,0,0,26
NPC/Class_A/210093,NPC,210093,1,NPC/Class_A/210093/Default,Default,Default,3,1,0,0,32
NPC/Class_A/210094,NPC,210094,1,NPC/Class_A/210094/Default,Default,Default,3,1,0,0,25
NPC/Class_A/210095,NPC,210095,1,NPC/Class_A/210095/Default,Default,Default,3,1,0,0,25
NPC/Class_A/210100,NPC,210100,1,NPC/Class_A/210100/Default,Default,Default,1,1,0,0,8
NPC/Class_A/210102,NPC,210102,1,NPC/Class_A/210102/Default,Default,Default,4,1,131,1,31
NPC/Class_A/210105,NPC,210105,1,NPC/Class_A/210105/Default,Default,Default,3,1,51,0,29
NPC/Class_A/210106,NPC,210106,1,NPC/Class_A/210106/Default,Default,Default,4,1,90,0,33
NPC/Class_A/210107,NPC,210107,1,NPC/Class_A/210107/Default,Default,Default,4,1,20,0,36
NPC/Class_A/210110,NPC,210110,1,NPC/Class_A/210110/Default,Default,Default,3,1,68,0,29
NPC/Class_A/210111,NPC,210111,1,NPC/Class_A/210111/Default,Default,Default,3,1,0,0,19
NPC/Class_A/210112,NPC,210112,1,NPC/Class_A/210112/Default,Default,Default,3,1,6,6,31
NPC/Class_A/210113,NPC,210113,1,NPC/Class_A/210113/Default,Default,Default,4,1,3,1,35
NPC/Class_A/210114,NPC,210114,1,NPC/Class_A/210114/Default,Default,Default,4,1,157,3,35
NPC/Class_A/210116,NPC,210116,1,NPC/Class_A/210116/Default,Default,Default,4,1,8,0,36
NPC/Class_A/210117,NPC,210117,1,NPC/Class_A/210117/Default,Default,Default,4,1,22,4,35
NPC/Class_A/210118,NPC,210118,1,NPC/Class_A/210118/Default,Default,Default,3,1,126,2,32
NPC/Class_A/210119,NPC,210119,1,NPC/Class_A/210119/Default,Default,Default,4,1,0,0,35
NPC/Class_A/210120,NPC,210120,1,NPC/Class_A/210120/Default,Default,Default,4,1,0,0,36
NPC/Class_A/210121,NPC,210121,1,NPC/Class_A/210121/Default,Default,Default,3,1,1,1,24
NPC/Class_A/210122,NPC,210122,1,NPC/Class_A/210122/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210123,NPC,210123,1,NPC/Class_A/210123/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210124,NPC,210124,1,NPC/Class_A/210124/Default,Default,Default,3,1,1,1,24
NPC/Class_A/210125,NPC,210125,1,NPC/Class_A/210125/Default,Default,Default,4,1,2,2,35
NPC/Class_A/210126,NPC,210126,1,NPC/Class_A/210126/Default,Default,Default,4,1,0,0,33
NPC/Class_A/210127,NPC,210127,1,NPC/Class_A/210127/Default,Default,Default,4,1,0,0,33
NPC/Class_A/210128,NPC,210128,1,NPC/Class_A/210128/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210129,NPC,210129,1,NPC/Class_A/210129/Default,Default,Default,3,1,0,0,29
NPC/Class_A/210130,NPC,210130,1,NPC/Class_A/210130/Default,Default,Default,3,1,2,2,29
NPC/Class_A/210131,NPC,210131,1,NPC/Class_A/210131/Default,Default,Default,4,1,0,0,33
NPC/Class_A/210132,NPC,210132,1,NPC/Class_A/210132/Default,Default,Default,4,1,0,0,33
NPC/Class_A/210133,NPC,210133,1,NPC/Class_A/210133/Default,Default,Default,3,1,0,0,19
NPC/Class_A/210134,NPC,210134,1,NPC/Class_A/210134/Default,Default,Default,2,1,0,0,13
NPC/Class_A/210135,NPC,210135,1,NPC/Class_A/210135/Default,Default,Default,1,1,155,2,9
NPC/Class_A/210136,NPC,210136,1,NPC/Class_A/210136/Default,Default,Default,2,1,3,0,16
NPC/Class_A/210137,NPC,210137,1,NPC/Class_A/210137/Default,Default,Default,4,1,47,0,35
NPC/Class_A/210140,NPC,210140,1,NPC/Class_A/210140/Default,Default,Default,3,1,64,3,31
NPC/Class_A/210141,NPC,210141,1,NPC/Class_A/210141/Default,Default,Default,3,1,3,1,33
NPC/Class_A/210142,NPC,210142,1,NPC/Class_A/210142/Default,Default,Default,3,1,0,0,19
NPC/Class_A/210144,NPC,210144,1,NPC/Class_A/210144/Default,Default,Default,3,1,18,0,31
NPC/Class_A/210145,NPC,210145,1,NPC/Class_A/210145/Default,Default,Default,4,1,67,1,35
NPC/Class_A/210146,NPC,210146,1,NPC/Class_A/210146/Default,Default,Default,3,1,5,0,31
NPC/Class_A/210147,NPC,210147,1,NPC/Class_A/210147/Default,Default,Default,4,1,2,0,35
NPC/Class_A/210148,NPC,210148,1,NPC/Class_A/210148/Default,Default,Default,4,1,2,0,35
NPC/Class_A/210149,NPC,210149,1,NPC/Class_A/210149/Default,Default,Default,4,1,16,1,35
NPC/Class_A/210150,NPC,210150,1,NPC/Class_A/210150/Default,Default,Default,4,1,2,0,38
NPC/Class_A/210151,NPC,210151,1,NPC/Class_A/210151/Default,Default,Default,3,1,0,0,27
NPC/Class_A/210152,NPC,210152,1,NPC/Class_A/210152/Default,Default,Default,3,1,26,2,31
NPC/Class_A/210153,NPC,210153,1,NPC/Class_A/210153/Default,Default,Default,3,1,173,115,26
NPC/Class_A/210154,NPC,210154,1,NPC/Class_A/210154/Default,Default,Default,4,1,2,0,35
NPC/Class_A/210155,NPC,210155,1,NPC/Class_A/210155/Default,Default,Default,4,1,4,1,35
NPC/Class_A/210156,NPC,210156,1,NPC/Class_A/210156/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210157,NPC,210157,1,NPC/Class_A/210157/Default,Default,Default,3,1,20,0,31
NPC/Class_A/210158,NPC,210158,1,NPC/Class_A/210158/Default,Default,Default,3,1,5,0,27
NPC/Class_A/210159,NPC,210159,1,NPC/Class_A/210159/Default,Default,Default,3,1,0,0,27
NPC/Class_A/210161,NPC,210161,1,NPC/Class_A/210161/Default,Default,Default,3,1,25,4,32
NPC/Class_A/210162,NPC,210162,1,NPC/Class_A/210162/Default,Default,Default,3,1,0,0,32
NPC/Class_A/210163,NPC,210163,1,NPC/Class_A/210163/Default,Default,Default,3,1,13,1,33
NPC/Class_A/210164,NPC,210164,1,NPC/Class_A/210164/Default,Default,Default,3,1,60,0,30
NPC/Class_A/210165,NPC,210165,1,NPC/Class_A/210165/Default,Default,Default,3,1,52,0,31
NPC/Class_A/210166,NPC,210166,1,NPC/Class_A/210166/Default,Default,Default,3,1,0,0,26
NPC/Class_A/210167,NPC,210167,1,NPC/Class_A/210167/Default,Default,Default,3,1,0,0,27
NPC/Class_A/210168,NPC,210168,1,NPC/Class_A/210168/Default,Default,Default,3,1,1,1,27
NPC/Class_A/210169,NPC,210169,1,NPC/Class_A/210169/Default,Default,Default,4,1,9,1,34
NPC/Class_A/210170,NPC,210170,1,NPC/Class_A/210170/Default,Default,Default,4,1,1,1,32
NPC/Class_A/210171,NPC,210171,1,NPC/Class_A/210171/Default,Default,Default,4,1,1,1,33
NPC/Class_A/210172,NPC,210172,1,NPC/Class_A/210172/Default,Default,Default,3,1,1,1,27
NPC/Class_A/210173,NPC,210173,1,NPC/Class_A/210173/Default,Default,Default,3,1,3,1,28
NPC/Class_A/210174,NPC,210174,1,NPC/Class_A/210174/Default,Default,Default,3,1,0,0,26
NPC/Class_A/210175,NPC,210175,1,NPC/Class_A/210175/Default,Default,Default,3,1,1,1,19
NPC/Class_A/210176,NPC,210176,1,NPC/Class_A/210176/Default,Default,Default,3,1,5,0,13
NPC/Class_A/210177,NPC,210177,1,NPC/Class_A/210177/Default,Default,Default,3,1,3,0,27
NPC/Class_A/210178,NPC,210178,1,NPC/Class_A/210178/Default,Default,Default,3,1,1,1,27
NPC/Class_A/210179,NPC,210179,1,NPC/Class_A/210179/Default,Default,Default,3,1,0,0,27
NPC/Class_A/210180,NPC,210180,1,NPC/Class_A/210180/Default,Default,Default,3,1,14,0,27
NPC/Class_A/210181,NPC,210181,1,NPC/Class_A/210181/Default,Default,Default,4,1,45,1,35
NPC/Class_A/210182,NPC,210182,1,NPC/Class_A/210182/Default,Default,Default,4,1,1,1,35
NPC/Class_A/210183,NPC,210183,1,NPC/Class_A/210183/Default,Default,Default,3,1,0,0,30
NPC/Class_A/210185,NPC,210185,1,NPC/Class_A/210185/Default,Default,Default,4,1,0,0,35
NPC/Class_A/210186,NPC,210186,1,NPC/Class_A/210186/Default,Default,Default,4,1,1,0,35
NPC/Class_A/210187,NPC,210187,1,NPC/Class_A/210187/Default,Default,Default,3,1,1,0,31
NPC/Class_A/210188,NPC,210188,1,NPC/Class_A/210188/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210189,NPC,210189,1,NPC/Class_A/210189/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210191,NPC,210191,1,NPC/Class_A/210191/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210192,NPC,210192,1,NPC/Class_A/210192/Default,Default,Default,3,1,44,0,31
NPC/Class_A/210193,NPC,210193,1,NPC/Class_A/210193/Default,Default,Default,4,2,11,0,34
NPC/Class_A/210197,NPC,210197,1,NPC/Class_A/210197/Default,Default,Default,3,1,1,0,32
NPC/Class_A/210198,NPC,210198,1,NPC/Class_A/210198/Default,Default,Default,4,1,0,0,36
NPC/Class_A/210199,NPC,210199,1,NPC/Class_A/210199/Default,Default,Default,4,1,38,3,36
NPC/Class_A/210200,NPC,210200,1,NPC/Class_A/210200/Default,Default,Default,3,1,38,1,31
NPC/Class_A/210201,NPC,210201,1,NPC/Class_A/210201/Default,Default,Default,4,1,0,0,30
NPC/Class_A/210202,NPC,210202,1,NPC/Class_A/210202/Default,Default,Default,4,1,0,0,37
NPC/Class_A/210203,NPC,210203,1,NPC/Class_A/210203/Default,Default,Default,3,1,0,0,31
