assembly_id,category,logical_character_id,visual_variant,state,component,mesh_path,mesh_name,mesh_class,lod_count,lod0_triangles,skeleton_path,reference_bone_count
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Body01.SK_ChavBobo01_Body01,SK_ChavBobo01_Body01,SkeletalMesh,5,36542,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Body01_Skeleton.SK_ChavBobo01_Body01_Skeleton,232
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Face01.SK_ChavBobo01_Face01,SK_ChavBobo01_Face01,SkeletalMesh,5,4870,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Body01_Skeleton.SK_ChavBobo01_Body01_Skeleton,232
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Hair01.SK_ChavBobo01_Hair01,SK_ChavBobo01_Hair01,SkeletalMesh,5,5923,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Role/Meshes/SK_ChavBobo01_Body01_Skeleton.SK_ChavBobo01_Body01_Skeleton,232
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Weapon/Meshes/SK_ChavBobo01_Compass01.SK_ChavBobo01_Compass01,SK_ChavBobo01_Compass01,SkeletalMesh,5,2957,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Weapon/Meshes/SK_ChavBobo01_Compass01_Skeleton.SK_ChavBobo01_Compass01_Skeleton,10
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Weapon/Meshes/SK_ChavBobo01_Spraycan01.SK_ChavBobo01_Spraycan01,SK_ChavBobo01_Spraycan01,SkeletalMesh,5,1310,SilverPalace/Content/ArtRes/CharRes/Boss/ChavBobo/Weapon/Meshes/SK_ChavBobo01_Spraycan01_Skeleton.SK_ChavBobo01_Spraycan01_Skeleton,6
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Body01.SK_ChavCaesar01_Body01,SK_ChavCaesar01_Body01,SkeletalMesh,5,29940,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Body01_Skeleton.SK_ChavCaesar01_Body01_Skeleton,299
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Face01.SK_ChavCaesar01_Face01,SK_ChavCaesar01_Face01,SkeletalMesh,5,4098,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Body01_Skeleton.SK_ChavCaesar01_Body01_Skeleton,299
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Hair01.SK_ChavCaesar01_Hair01,SK_ChavCaesar01_Hair01,SkeletalMesh,5,5473,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Role/Meshes/SK_ChavCaesar01_Body01_Skeleton.SK_ChavCaesar01_Body01_Skeleton,299
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Weapon/Meshes/SK_ChavCaesar01_Book01.SK_ChavCaesar01_Book01,SK_ChavCaesar01_Book01,SkeletalMesh,5,1208,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Weapon/Meshes/SK_ChavCaesar01_Book01_Skeleton.SK_ChavCaesar01_Book01_Skeleton,31
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Weapon/Meshes/SK_ChavCaesar01_Envelope01.SK_ChavCaesar01_Envelope01,SK_ChavCaesar01_Envelope01,SkeletalMesh,5,304,SilverPalace/Content/ArtRes/CharRes/Boss/ChavCaesar/Weapon/Meshes/SK_ChavCaesar01_Envelope01_Skeleton.SK_ChavCaesar01_Envelope01_Skeleton,9
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Role/Meshes/SK_EliteKnight01.SK_EliteKnight01,SK_EliteKnight01,SkeletalMesh,5,132542,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Role/Meshes/SK_EliteKnight01_Skeleton.SK_EliteKnight01_Skeleton,334
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Arrow.SK_EliteKnight01_Arrow,SK_EliteKnight01_Arrow,SkeletalMesh,5,6000,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Arrow_Skeleton.SK_EliteKnight01_Arrow_Skeleton,7
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Bow.SK_EliteKnight01_Bow,SK_EliteKnight01_Bow,SkeletalMesh,5,7998,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Bow_Skeleton.SK_EliteKnight01_Bow_Skeleton,16
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Rapier.SK_EliteKnight01_Rapier,SK_EliteKnight01_Rapier,SkeletalMesh,5,6199,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Rapier_Skeleton.SK_EliteKnight01_Rapier_Skeleton,7
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Spear.SK_EliteKnight01_Spear,SK_EliteKnight01_Spear,SkeletalMesh,5,6000,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Spear_Skeleton.SK_EliteKnight01_Spear_Skeleton,7
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Throwspr.SK_EliteKnight01_Throwspr,SK_EliteKnight01_Throwspr,SkeletalMesh,5,6000,SilverPalace/Content/ArtRes/CharRes/Boss/EliteKnight/Weapon/Meshes/SK_EliteKnight01_Throwspr_Skeleton.SK_EliteKnight01_Throwspr_Skeleton,7
Boss/KnightStatue/Default,Boss,Boss/KnightStatue,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Role/Meshes/SK_KnightStatue01.SK_KnightStatue01,SK_KnightStatue01,SkeletalMesh,5,88674,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Role/Meshes/SK_KnightStatue01_Skeleton.SK_KnightStatue01_Skeleton,204
Boss/KnightStatue/Default,Boss,Boss/KnightStatue,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Weapon/Meshes/SK_KnightStatue_Axe01.SK_KnightStatue_Axe01,SK_KnightStatue_Axe01,SkeletalMesh,5,13767,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Weapon/Meshes/SK_KnightStatue_Axe01_Skeleton.SK_KnightStatue_Axe01_Skeleton,6
Boss/KnightStatue/Default,Boss,Boss/KnightStatue,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Weapon/Meshes/SK_KnightStatue_Controller01.SK_KnightStatue_Controller01,SK_KnightStatue_Controller01,SkeletalMesh,5,10502,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatue/Weapon/Meshes/SK_KnightStatue_Controller01_Skeleton.SK_KnightStatue_Controller01_Skeleton,3
Boss/KnightStatueScb/Default,Boss,Boss/KnightStatueScb,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatueScb/Role/Meshes/SK_KnightStatueScb01.SK_KnightStatueScb01,SK_KnightStatueScb01,SkeletalMesh,5,148763,SilverPalace/Content/ArtRes/CharRes/Boss/KnightStatueScb/Role/Meshes/SK_KnightStatueScb01_Skeleton.SK_KnightStatueScb01_Skeleton,464
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Role/Meshes/SK_Manager01.SK_Manager01,SK_Manager01,SkeletalMesh,5,90995,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Role/Meshes/SK_Manager01_Skeleton.SK_Manager01_Skeleton,437
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_LevelCannon01_1X.SK_Manager01_LevelCannon01_1X,SK_Manager01_LevelCannon01_1X,SkeletalMesh,5,17220,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_LevelCannon01_1X_Skeleton.SK_Manager01_LevelCannon01_1X_Skeleton,3
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_LevelCannon01_2X.SK_Manager01_LevelCannon01_2X,SK_Manager01_LevelCannon01_2X,SkeletalMesh,5,17220,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_LevelCannon01_2X_Skeleton.SK_Manager01_LevelCannon01_2X_Skeleton,3
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Meter01.SK_Manager01_Meter01,SK_Manager01_Meter01,SkeletalMesh,5,33838,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Meter01_Skeleton.SK_Manager01_Meter01_Skeleton,27
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_PlasmaCannon01.SK_Manager01_PlasmaCannon01,SK_Manager01_PlasmaCannon01,SkeletalMesh,5,1472,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_PlasmaCannon01_Skeleton.SK_Manager01_PlasmaCannon01_Skeleton,9
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Saw01.SK_Manager01_Saw01,SK_Manager01_Saw01,SkeletalMesh,5,4580,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Saw01_Skeleton.SK_Manager01_Saw01_Skeleton,4
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_SwingingHammer01.SK_Manager01_SwingingHammer01,SK_Manager01_SwingingHammer01,SkeletalMesh,5,51852,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_SwingingHammer01_Skeleton.SK_Manager01_SwingingHammer01_Skeleton,31
Boss/Manager/Default,Boss,Boss/Manager,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Umbrella01.SK_Manager01_Umbrella01,SK_Manager01_Umbrella01,SkeletalMesh,5,27924,SilverPalace/Content/ArtRes/CharRes/Boss/Manager/Weapon/Meshes/SK_Manager01_Umbrella01_Skeleton.SK_Manager01_Umbrella01_Skeleton,68
Boss/Paraffin/Default,Boss,Boss/Paraffin,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_ParaffinLighter_01.SK_ParaffinLighter_01,SK_ParaffinLighter_01,SkeletalMesh,5,5078,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_ParaffinLighter_01_Skeleton.SK_ParaffinLighter_01_Skeleton,6
Boss/Paraffin/Default,Boss,Boss/Paraffin,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_ParaffinWeapon_01.SK_ParaffinWeapon_01,SK_ParaffinWeapon_01,SkeletalMesh,5,7174,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_ParaffinWeapon_01_Skeleton.SK_ParaffinWeapon_01_Skeleton,6
Boss/Paraffin/Default,Boss,Boss/Paraffin,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_Paraffin_00.SK_Paraffin_00,SK_Paraffin_00,SkeletalMesh,5,48923,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_Paraffin_00_Skeleton.SK_Paraffin_00_Skeleton,190
Boss/Paraffin/Default,Boss,Boss/Paraffin,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_Paraffin_01.SK_Paraffin_01,SK_Paraffin_01,SkeletalMesh,5,48689,SilverPalace/Content/ArtRes/CharRes/Boss/Paraffin/Meshes/SK_Paraffin_01_Skeleton.SK_Paraffin_01_Skeleton,272
Boss/Predator/Default,Boss,Boss/Predator,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/Predator/Role/Meshes/SK_Predator01.SK_Predator01,SK_Predator01,SkeletalMesh,5,98270,SilverPalace/Content/ArtRes/CharRes/Boss/Predator/Role/Meshes/SK_Predator01_Skeleton.SK_Predator01_Skeleton,308
Boss/QuarterBack/Default,Boss,Boss/QuarterBack,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Role/Meshes/SK_QuarterBack01.SK_QuarterBack01,SK_QuarterBack01,SkeletalMesh,5,71512,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Role/Meshes/SK_QuarterBack01_Skeleton.SK_QuarterBack01_Skeleton,216
Boss/QuarterBack/Default,Boss,Boss/QuarterBack,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Role/Meshes/SK_QuarterBack01_Fur01.SK_QuarterBack01_Fur01,SK_QuarterBack01_Fur01,SkeletalMesh,5,757,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Role/Meshes/SK_QuarterBack01_Skeleton.SK_QuarterBack01_Skeleton,216
Boss/QuarterBack/Default,Boss,Boss/QuarterBack,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Weapon/Meshes/SK_QuarterBack01_Rugby01.SK_QuarterBack01_Rugby01,SK_QuarterBack01_Rugby01,SkeletalMesh,5,4764,SilverPalace/Content/ArtRes/CharRes/Boss/QuarterBack/Weapon/Meshes/SK_QuarterBack01_Rugby01_Skeleton.SK_QuarterBack01_Rugby01_Skeleton,6
Boss/RedBack/Default,Boss,Boss/RedBack,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/RedBack/Role/Meshes/SK_RedBack01.SK_RedBack01,SK_RedBack01,SkeletalMesh,5,74223,SilverPalace/Content/ArtRes/CharRes/Boss/RedBack/Role/Meshes/SK_RedBack01_Skeleton.SK_RedBack01_Skeleton,299
Boss/RedBack/Default,Boss,Boss/RedBack,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/RedBack/Weapon/Meshes/SK_RedBack01_knife.SK_RedBack01_knife,SK_RedBack01_knife,SkeletalMesh,5,8170,SilverPalace/Content/ArtRes/CharRes/Boss/RedBack/Weapon/Meshes/SK_RedBack01_knife_Skeleton.SK_RedBack01_knife_Skeleton,13
Boss/RexBoss/Default,Boss,Boss/RexBoss,Default,Default,Pet,SilverPalace/Content/ArtRes/CharRes/Boss/RexBoss/Pet/Meshes/SK_RexBoss_Dog01.SK_RexBoss_Dog01,SK_RexBoss_Dog01,SkeletalMesh,5,21988,SilverPalace/Content/ArtRes/CharRes/Boss/RexBoss/Pet/Meshes/SK_RexBoss_Dog01_Skeleton.SK_RexBoss_Dog01_Skeleton,204
Boss/RexBoss/Default,Boss,Boss/RexBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/RexBoss/Role/Meshes/SK_RexBoss_Body01.SK_RexBoss_Body01,SK_RexBoss_Body01,SkeletalMesh,5,75093,SilverPalace/Content/ArtRes/CharRes/Boss/RexBoss/Role/Meshes/SK_RexBoss_Body01_Skeleton.SK_RexBoss_Body01_Skeleton,307
