assembly_id,category,logical_character_id,display_name,visual_root,visual_variant,state,assembly_kind,mesh_count,skeletal_mesh_count,static_mesh_count,role_mesh_count,weapon_mesh_count,pet_mesh_count,summon_mesh_count,prop_mesh_count,state_mesh_count,maximum_lod_count,unique_skeleton_count,reference_bones_unique,skeleton_asset_bones_unique,animation_count_all,animation_duration_all_seconds,animation_count_core,animation_duration_core_seconds,material_package_count,texture_count
Boss/QuarterBack/Default,Boss,Boss/QuarterBack,QuarterBack,Boss/QuarterBack,Default,Default,character_assembly,3,3,0,2,1,0,0,0,0,5,2,222,235,104,244.78333372436464,104,244.78333372436464,8,25
Boss/RedBack/Default,Boss,Boss/RedBack,RedBack,Boss/RedBack,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,312,312,143,358.65000201389194,94,265.7833349816501,8,32
Boss/RexBoss/Default,Boss,Boss/RexBoss,RexBoss,Boss/RexBoss,Default,Default,character_assembly,8,8,0,6,1,1,0,0,0,5,2,511,511,264,984.0333305932581,156,522.2500006295741,18,67
Boss/Supervisor/Default,Boss,Boss/Supervisor,Supervisor,Boss/Supervisor,Default,Default,character_assembly,7,7,0,1,6,0,0,0,0,5,7,414,423,173,648.8166653160006,153,522.0833331886679,8,26
Boss/Vulture/Default,Boss,Boss/Vulture,Vulture,Boss/Vulture,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,481,586,74,230.81666531041265,74,230.81666531041265,9,40
Hero/Alf/Default/Combat,Hero,Hero/Alf,Alf,Hero/Alf/Default,Default,Combat,character_assembly,8,8,0,4,4,0,0,0,0,5,5,538,538,1684,6484.733343651518,948,2276.850007256493,28,87
Hero/Alf/Default/Show,Hero,Hero/Alf,Alf,Hero/Alf/Default,Default,Show,character_assembly,2,2,0,1,1,0,0,0,0,5,2,437,437,1632,6187.983341677114,920,2175.9666730295867,8,21
Hero/Argos/Default/Combat,Hero,Hero/Argos,Argos,Hero/Argos/Default,Default,Combat,character_assembly,9,9,0,4,5,0,0,0,0,5,6,409,410,877,2135.849996296689,776,1517.2666668575257,16,59
Hero/Argos/Default/Show,Hero,Hero/Argos,Argos,Hero/Argos/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,368,368,840,1864.3499980848283,772,1461.800000635907,6,12
Hero/Ashley/Default/Combat,Hero,Hero/Ashley,Ashley,Hero/Ashley/Default,Default,Combat,character_assembly,12,11,1,4,8,0,0,0,0,5,7,1528,1565,860,2221.5666710585356,798,1730.1000000350177,26,95
Hero/Ashley/Default/Show,Hero,Hero/Ashley,Ashley,Hero/Ashley/Default,Default,Show,character_assembly,2,2,0,1,1,0,0,0,0,5,2,862,862,813,1981.1500036939979,769,1638.633333671838,15,33
Hero/Ashley/World/Combat,Hero,Hero/Ashley,Ashley,Hero/Ashley/World,World,Combat,character_assembly,4,4,0,4,0,0,0,0,0,5,1,466,466,11,72.06666684150696,10,56.06666684150696,12,44
Hero/Bentham/Default/Combat,Hero,Hero/Bentham,Bentham,Hero/Bentham/Default,Default,Combat,character_assembly,5,5,0,4,1,0,0,0,0,5,2,484,486,873,2576.533336026594,777,1804.233337862417,17,59
Hero/Bentham/Default/Show,Hero,Hero/Bentham,Bentham,Hero/Bentham/Default,Default,Show,character_assembly,3,3,0,1,2,0,0,0,0,5,3,514,516,879,2637.083336217329,767,1718.4166710209101,9,23
Hero/Cynthia/Default/Combat,Hero,Hero/Cynthia,Cynthia,Hero/Cynthia/Default,Default,Combat,character_assembly,11,11,0,4,3,4,0,0,0,5,7,706,728,1886,7311.916649842635,998,2364.3666596952826,25,98
Hero/Cynthia/Default/Show,Hero,Hero/Cynthia,Cynthia,Hero/Cynthia/Default,Default,Show,character_assembly,2,2,0,1,1,0,0,0,0,5,2,382,382,1520,5242.466662297025,769,1610.649999300018,8,22
Hero/Firtho/Default/Combat,Hero,Hero/Firtho,Firtho,Hero/Firtho/Default,Default,Combat,character_assembly,5,5,0,3,2,0,0,0,0,5,3,398,398,2014,8419.433332478628,848,1965.9333332758397,14,49
Hero/Firtho/Default/Show,Hero,Hero/Firtho,Firtho,Hero/Firtho/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,379,379,1977,8268.149999918416,829,1914.816666746512,6,12
Hero/Gratia/Default/Combat,Hero,Hero/Gratia,Gratia,Hero/Gratia/Default,Default,Combat,character_assembly,8,8,0,4,4,0,0,0,0,5,5,546,559,1411,5387.266668682918,801,1920.3666635658592,26,86
Hero/Gratia/Default/Show,Hero,Hero/Gratia,Gratia,Hero/Gratia/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,511,524,1357,5054.700002422556,778,1841.6333310361952,7,13
Hero/Grimm/Default/Combat,Hero,Hero/Grimm,Grimm,Hero/Grimm/Default,Default,Combat,character_assembly,12,12,0,5,7,0,0,0,0,5,8,411,417,1023,2961.716665139422,823,1734.4833310451359,16,53
Hero/Grimm/Default/Show,Hero,Hero/Grimm,Grimm,Hero/Grimm/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,376,376,937,2396.4499984476715,785,1573.0499996934086,7,13
Hero/Guna/Default/Combat,Hero,Hero/Guna,Guna,Hero/Guna/Default,Default,Combat,character_assembly,5,5,0,4,1,0,0,0,0,5,1,499,510,482,994.6499971840531,451,702.7166649792343,13,57
Hero/Guna/Default/Show,Hero,Hero/Guna,Guna,Hero/Guna/Default,Default,Show,character_assembly,4,4,0,1,3,0,0,0,0,5,4,536,536,509,1318.7666645217687,464,786.9666655231267,9,21
Hero/Hugin/Default/Combat,Hero,Hero/Hugin,Hugin,Hero/Hugin/Default,Default,Combat,character_assembly,8,8,0,6,2,0,0,0,0,5,3,536,536,7586,32058.58331834711,989,2513.800002211705,20,67
Hero/Hugin/Default/Show,Hero,Hero/Hugin,Hugin,Hero/Hugin/Default,Default,Show,character_assembly,3,2,1,1,2,0,0,0,0,5,2,509,509,7333,31339.183320039883,983,2497.2000023368746,8,19
Hero/Lisa/Default/Combat,Hero,Hero/Lisa,Lisa,Hero/Lisa/Default,Default,Combat,character_assembly,13,13,0,4,8,1,0,0,0,5,10,1112,1117,587,2057.449996119365,499,1052.166667824611,20,74
Hero/Lisa/Default/Show,Hero,Hero/Lisa,Lisa,Hero/Lisa/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,509,514,470,1016.2499989513308,440,708.4499997142702,7,16
Hero/Lorin/Default/Combat,Hero,Hero/Lorin,Lorin,Hero/Lorin/Default,Default,Combat,character_assembly,6,6,0,4,2,0,0,0,0,5,3,336,336,2019,7434.6333396956325,860,1766.7999993935227,18,59
Hero/Lorin/Default/Show,Hero,Hero/Lorin,Lorin,Hero/Lorin/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,312,312,2010,7412.133339457214,860,1766.7999993935227,6,12
Hero/Munin/Default/Combat,Hero,Hero/Munin,Munin,Hero/Munin/Default,Default,Combat,character_assembly,8,8,0,6,2,0,0,0,0,5,3,434,438,9267,37825.98333297297,1191,3017.0499994568527,19,69
Hero/Munin/Default/Show,Hero,Hero/Munin,Munin,Hero/Munin/Default,Default,Show,character_assembly,8,7,1,1,7,0,0,0,0,5,7,456,481,8794,36588.216665979475,1178,2982.3833323977888,15,37
Hero/Rex/Default/Combat,Hero,Hero/Rex,Rex,Hero/Rex/Default,Default,Combat,character_assembly,6,6,0,5,1,0,0,0,0,5,1,410,410,1001,2976.9333310816437,718,1477.86666453816,14,54
Hero/Rex/Default/Show,Hero,Hero/Rex,Rex,Hero/Rex/Default,Default,Show,character_assembly,1,1,0,1,0,0,0,0,0,1,1,410,410,1001,2976.9333310816437,718,1477.86666453816,7,14
Hero/Rosy/Default/Combat,Hero,Hero/Rosy,Rosy,Hero/Rosy/Default,Default,Combat,character_assembly,12,12,0,4,8,0,0,0,0,5,7,690,714,1585,6857.500009045005,842,2210.166672334075,23,76
Hero/Rosy/Default/Show,Hero,Hero/Rosy,Rosy,Hero/Rosy/Default,Default,Show,character_assembly,9,9,0,1,8,0,0,0,0,5,9,581,828,1616,7219.216671481729,840,2200.7333389371634,10,32
Mob/Bayonet/MaidBayonet/Default,Mob,Mob/Bayonet/MaidBayonet,MaidBayonet,Mob/Bayonet/MaidBayonet,Default,Default,character_assembly,6,6,0,2,4,0,0,0,0,5,5,384,384,258,583.14999900572,223,480.61666558496654,10,40
Mob/CandleMob/CandleStub/Default,Mob,Mob/CandleMob/CandleStub,CandleStub,Mob/CandleMob/CandleStub,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,32,32,42,57.66666661389172,42,57.66666661389172,1,4
Mob/CandleMob/Candleman/Default,Mob,Mob/CandleMob/Candleman,Candleman,Mob/CandleMob/Candleman,Default,Default,character_assembly,3,3,0,3,0,0,0,0,0,5,3,316,323,363,715.4333340674639,103,232.6333339959383,5,18
Mob/Cargo/CargoProtector/Default,Mob,Mob/Cargo/CargoProtector,CargoProtector,Mob/Cargo/CargoProtector,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,162,162,82,224.0666681136936,82,224.0666681136936,1,4
Mob/ChastDefault/Chastener/Default,Mob,Mob/ChastDefault/Chastener,Chastener,Mob/ChastDefault/Chastener,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,185,191,117,288.48333466798067,117,288.48333466798067,3,14
Mob/Chav/ChavChubby/Default,Mob,Mob/Chav/ChavChubby,ChavChubby,Mob/Chav/ChavChubby,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,160,208,127,281.91666673123837,127,281.91666673123837,5,21
Mob/Cicada/Default,Mob,Mob/Cicada,Cicada,Mob/Cicada,Default,Default,character_assembly,2,2,0,2,0,0,0,0,0,5,2,201,201,0,0,0,0,2,8
Mob/Debt/DebtCollector/Default,Mob,Mob/Debt/DebtCollector,DebtCollector,Mob/Debt/DebtCollector,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,247,247,123,310.94999989680946,121,291.8499999921769,5,19
Mob/DroneDefault/Default,Mob,Mob/DroneDefault,DroneDefault,Mob/DroneDefault,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,33,33,79,84.98333354853094,79,84.98333354853094,2,8
Mob/Female/EnforcerFemale/Default,Mob,Mob/Female/EnforcerFemale,EnforcerFemale,Mob/Female/EnforcerFemale,Default,Default,character_assembly,3,3,0,1,2,0,0,0,0,5,3,145,153,126,320.8833302985877,126,320.8833302985877,5,21
Mob/Female/EnforcerIron/Default,Mob,Mob/Female/EnforcerIron,EnforcerIron,Mob/Female/EnforcerIron,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,274,274,113,250.94999910704792,113,250.94999910704792,5,23
Mob/Female/HoodieWoman/Default,Mob,Mob/Female/HoodieWoman,HoodieWoman,Mob/Female/HoodieWoman,Default,Default,character_assembly,3,2,1,1,2,0,0,0,0,5,2,152,152,231,660.7166667860001,231,660.7166667860001,5,25
Mob/Fish/SilverFish/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFish,SilverFish,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,1,4
Mob/Fish/SilverFishEletrical/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishEletrical,SilverFishEletrical,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,15
Mob/Fish/SilverFishFallout/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishFallout,SilverFishFallout,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,14
Mob/Fish/SilverFishFire/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishFire,SilverFishFire,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,16
Mob/Fish/SilverFishGravity/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishGravity,SilverFishGravity,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,15
Mob/Fish/SilverFishIce/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishIce,SilverFishIce,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,16
Mob/Fish/SilverFishRust/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishRust,SilverFishRust,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,12
Mob/Fish/SilverFishSilver/Default,Mob,Mob/Fish/SilverFish,SilverFish,Mob/Fish/SilverFishSilver,SilverFishSilver,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,16,16,66,109.59999988228083,66,109.59999988228083,3,14
Mob/Guard/GuardKnight/Default,Mob,Mob/Guard/GuardKnight,GuardKnight,Mob/Guard/GuardKnight,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,175,175,145,391.1500023249537,97,219.68333479203284,3,11
Mob/Harpy/HarpyDefault/Default,Mob,Mob/Harpy/HarpyDefault,HarpyDefault,Mob/Harpy/HarpyDefault,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,320,320,90,220.0666657742113,76,175.56666601262987,3,13
Mob/Male/Butler/Default,Mob,Mob/Male/Butler,Butler,Mob/Male/Butler,Default,Default,character_assembly,5,3,2,1,4,0,0,0,0,5,3,156,161,134,329.4999990109354,110,220.76666566170752,5,23
Mob/Male/Enforcer/Default,Mob,Mob/Male/Enforcer,Enforcer,Mob/Male/Enforcer,Default,Default,character_assembly,10,10,0,4,6,0,0,0,0,5,9,412,412,378,1108.816679013893,290,588.6333347987384,11,38
Mob/Male/EnforcerLeader/Default,Mob,Mob/Male/EnforcerLeader,EnforcerLeader,Mob/Male/EnforcerLeader,Default,Default,character_assembly,3,3,0,2,1,0,0,0,0,5,2,185,185,131,457.0333334300667,103,336.7666652891785,3,13
Mob/Male/HoodieLeader/Default,Mob,Mob/Male/HoodieLeader,HoodieLeader,Mob/Male/HoodieLeader,Default,Default,character_assembly,5,3,2,1,4,0,0,0,0,5,3,142,151,102,223.40000152029097,102,223.40000152029097,5,26
Mob/Male/HoodieMan/Default,Mob,Mob/Male/HoodieMan,HoodieMan,Mob/Male/HoodieMan,Default,Default,character_assembly,3,2,1,1,2,0,0,0,0,5,2,130,130,240,695.083331881091,239,694.6666652243584,4,18
Mob/Male/Ork/Default,Mob,Mob/Male/Ork,Ork,Mob/Male/Ork,Default,Default,character_assembly,7,4,3,1,6,0,0,0,0,5,4,136,136,101,223.05000011250377,101,223.05000011250377,3,12
Mob/Male/Thug/Default,Mob,Mob/Male/Thug,Thug,Mob/Male/Thug,Default,Default,character_assembly,5,3,2,1,4,0,0,0,0,5,3,127,127,207,536.4499981645495,112,291.91666510142386,5,23
Mob/Male/TraineeKnight/Default,Mob,Mob/Male/TraineeKnight,TraineeKnight,Mob/Male/TraineeKnight,Default,Default,character_assembly,4,4,0,1,3,0,0,0,0,5,4,243,244,394,1092.9500029347837,159,314.38333251699805,5,20
Mob/Manhole/ManholeCover/Default,Mob,Mob/Manhole/ManholeCover,ManholeCover,Mob/Manhole/ManholeCover,Default,Default,character_assembly,2,2,0,2,0,0,0,0,0,5,2,17,17,19,26.6333332862705,19,26.6333332862705,1,6
Mob/RabiesFemale/RabiesMaba/Default,Mob,Mob/RabiesFemale/RabiesMaba,RabiesMaba,Mob/RabiesFemale/RabiesMaba,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,171,171,109,258.71666588820517,109,258.71666588820517,6,28
Mob/RabiesMale/RabiesPaba/Default,Mob,Mob/RabiesMale/RabiesPaba,RabiesPaba,Mob/RabiesMale/RabiesPaba,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,141,141,105,244.61666669882834,105,244.61666669882834,5,28
Mob/Shield/MaidShield/Default,Mob,Mob/Shield/MaidShield,MaidShield,Mob/Shield/MaidShield,Default,Default,character_assembly,6,6,0,1,5,0,0,0,0,5,6,475,475,142,471.6666680946946,120,379.30000058561563,12,45
Mob/WaxMaskMan/WaxMaskMale/Default,Mob,Mob/WaxMaskMan/WaxMaskMale,WaxMaskMale,Mob/WaxMaskMan/WaxMaskMale,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,141,141,215,492.54999894835055,79,180.71666673757136,4,20
Mob/WaxMaskWoman/WaxMaskFemale/Default,Mob,Mob/WaxMaskWoman/WaxMaskFemale,WaxMaskFemale,Mob/WaxMaskWoman/WaxMaskFemale,Default,Default,character_assembly,2,2,0,1,1,0,0,0,0,5,2,229,266,158,357.15000087954104,84,185.1500013563782,4,19
Mob/Werewolf/WerewolfDefault/Default,Mob,Mob/Werewolf/WerewolfDefault,WerewolfDefault,Mob/Werewolf/WerewolfDefault,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,222,224,187,400.06666925922036,92,198.23333451524377,3,19
NPC/Class_A/201005/Default,NPC,NPC/Class_A/201005,201005,NPC/Class_A/201005,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,337,337,38,223.5666647553444,1,32.266666412353516,8,27
NPC/Class_A/201016/Default,NPC,NPC/Class_A/201016,201016,NPC/Class_A/201016,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,219,219,0,0,0,0,9,32
NPC/Class_A/203016/Default,NPC,NPC/Class_A/203016,203016,NPC/Class_A/203016,Default,Default,complete_npc,1,1,0,1,0,0,0,0,0,5,1,90,90,5,37.98333413153887,2,0.06666667014360428,1,6
NPC/Class_A/203017/Default,NPC,NPC/Class_A/203017,203017,NPC/Class_A/203017,Default,Default,complete_npc,1,1,0,1,0,0,0,0,0,5,1,90,90,4,32.59166628867388,2,0.06666667014360428,2,6
NPC/Class_A/203018/Default,NPC,NPC/Class_A/203018,203018,NPC/Class_A/203018,Default,Default,complete_npc,1,1,0,1,0,0,0,0,0,5,1,90,90,0,0,0,0,2,4
NPC/Class_A/210001/Default,NPC,NPC/Class_A/210001,210001,NPC/Class_A/210001,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,217,217,76,154.6999999433756,41,3.03333343565464,10,37
NPC/Class_A/210002/Default,NPC,NPC/Class_A/210002,210002,NPC/Class_A/210002,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,325,325,105,193.5000001117587,53,12.000000171363354,10,37
NPC/Class_A/210003/Default,NPC,NPC/Class_A/210003,210003,NPC/Class_A/210003,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,246,246,85,140.59999970719218,35,1.1666667275130749,9,35
NPC/Class_A/210004/Default,NPC,NPC/Class_A/210004,210004,NPC/Class_A/210004,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,233,235,78,182.83333027362823,41,1.6666667461395264,10,39
NPC/Class_A/210005/Default,NPC,NPC/Class_A/210005,210005,NPC/Class_A/210005,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,202,202,90,320.23333356156945,1,0.03333333507180214,10,38
NPC/Class_A/210006/Default,NPC,NPC/Class_A/210006,210006,NPC/Class_A/210006,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,242,325,45,249.566665828228,0,0,9,32
NPC/Class_A/210007/Default,NPC,NPC/Class_A/210007,210007,NPC/Class_A/210007,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,276,276,112,264.36666697636247,41,1.3666667379438877,10,35
NPC/Class_A/210008/Default,NPC,NPC/Class_A/210008,210008,NPC/Class_A/210008,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,254,256,120,378.13333374261856,0,0,10,36
NPC/Class_A/210009/Default,NPC,NPC/Class_A/210009,210009,NPC/Class_A/210009,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,221,221,68,94.19999903813004,41,1.3666667379438877,9,31
NPC/Class_A/210010/Default,NPC,NPC/Class_A/210010,210010,NPC/Class_A/210010,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,236,236,38,146.6999997496605,0,0,8,32
NPC/Class_A/210011/Default,NPC,NPC/Class_A/210011,210011,NPC/Class_A/210011,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,206,206,45,233.26666796207428,0,0,8,27
NPC/Class_A/210012/Default,NPC,NPC/Class_A/210012,210012,NPC/Class_A/210012,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,206,247,35,190.3499994277954,1,2.0,7,27
NPC/Class_A/210013/Default,NPC,NPC/Class_A/210013,210013,NPC/Class_A/210013,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,191,191,113,479.7333313561976,16,36.933333192020655,8,27
NPC/Class_A/210014/Default,NPC,NPC/Class_A/210014,210014,NPC/Class_A/210014,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,241,327,54,139.7333334684372,0,0,8,34
NPC/Class_A/210015/Default,NPC,NPC/Class_A/210015,210015,NPC/Class_A/210015,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,202,287,35,118.03333365917206,0,0,8,33
NPC/Class_A/210016/Default,NPC,NPC/Class_A/210016,210016,NPC/Class_A/210016,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,244,244,42,171.63333233445883,0,0,9,34
NPC/Class_A/210017/Default,NPC,NPC/Class_A/210017,210017,NPC/Class_A/210017,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,207,207,36,110.60000079870224,1,2.0,8,27
NPC/Class_A/210018/Default,NPC,NPC/Class_A/210018,210018,NPC/Class_A/210018,Default,Default,complete_npc,1,1,0,1,0,0,0,0,0,5,1,190,190,18,95.53333313018084,3,1.8000000193715096,2,8
NPC/Class_A/210019/Default,NPC,NPC/Class_A/210019,210019,NPC/Class_A/210019,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,241,327,27,130.30000054836273,0,0,8,32
NPC/Class_A/210020/Default,NPC,NPC/Class_A/210020,210020,NPC/Class_A/210020,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,195,195,138,158.6666692942381,138,158.6666692942381,10,36
NPC/Class_A/210021/Default,NPC,NPC/Class_A/210021,210021,NPC/Class_A/210021,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,237,237,5,36.06666660308838,0,0,9,38
NPC/Class_A/210022/Default,NPC,NPC/Class_A/210022,210022,NPC/Class_A/210022,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,264,264,52,183.73333401232958,4,18.333333678543568,9,33
NPC/Class_A/210023/Default,NPC,NPC/Class_A/210023,210023,NPC/Class_A/210023,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,285,285,2,4.433333158493042,0,0,10,37
NPC/Class_A/210024/Default,NPC,NPC/Class_A/210024,210024,NPC/Class_A/210024,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,208,307,12,45.36666679382324,0,0,8,27
NPC/Class_A/210025/Default,NPC,NPC/Class_A/210025,210025,NPC/Class_A/210025,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,249,370,188,921.9333354234695,0,0,9,32
NPC/Class_A/210026/Default,NPC,NPC/Class_A/210026,210026,NPC/Class_A/210026,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,292,292,53,319.73333394527435,1,31.33333396911621,9,31
NPC/Class_A/210027/Default,NPC,NPC/Class_A/210027,210027,NPC/Class_A/210027,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,223,223,15,34.56666720658541,2,0.06666667014360428,9,33
NPC/Class_A/210028/Default,NPC,NPC/Class_A/210028,210028,NPC/Class_A/210028,Default,Default,complete_npc,4,4,0,4,0,0,0,0,0,5,1,236,236,30,102.13333463668823,0,0,10,36
NPC/Class_A/210029/Default,NPC,NPC/Class_A/210029,210029,NPC/Class_A/210029,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,260,260,21,93.76666736602783,0,0,9,32
NPC/Class_A/210030/Default,NPC,NPC/Class_A/210030,210030,NPC/Class_A/210030,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,256,256,3,8.600000023841858,0,0,9,34
NPC/Class_A/210031/Default,NPC,NPC/Class_A/210031,210031,NPC/Class_A/210031,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,191,191,2,0.06666667014360428,2,0.06666667014360428,8,34
NPC/Class_A/210032/Default,NPC,NPC/Class_A/210032,210032,NPC/Class_A/210032,Default,Default,complete_npc,3,3,0,3,0,0,0,0,0,5,1,191,191,24,162.4000015258789,0,0,7,29
