assembly_id,logical_character_id,width,height,resolution,texture_count
Boss/KnightStatueScb/Default,Boss/KnightStatueScb,2048,2048,2048×2048,13
Boss/KnightStatueScb/Default,Boss/KnightStatueScb,1024,1024,1024×1024,7
Boss/KnightStatueScb/Default,Boss/KnightStatueScb,512,512,512×512,1
Boss/KnightStatueScb/Default,Boss/KnightStatueScb,1024,32,1024×32,1
Boss/Manager/Default,Boss/Manager,2048,2048,2048×2048,4
Boss/Manager/Default,Boss/Manager,1024,1024,1024×1024,4
Boss/Manager/Default,Boss/Manager,512,512,512×512,5
Boss/Manager/Default,Boss/Manager,256,256,256×256,2
Boss/Paraffin/Default,Boss/Paraffin,2048,2048,2048×2048,6
Boss/Paraffin/Default,Boss/Paraffin,1024,1024,1024×1024,7
Boss/Paraffin/Default,Boss/Paraffin,512,512,512×512,2
Boss/Paraffin/Default,Boss/Paraffin,256,256,256×256,1
Boss/Predator/Default,Boss/Predator,2048,2048,2048×2048,10
Boss/Predator/Default,Boss/Predator,1024,1024,1024×1024,4
Boss/QuarterBack/Default,Boss/QuarterBack,2048,2048,2048×2048,9
Boss/QuarterBack/Default,Boss/QuarterBack,1024,1024,1024×1024,6
Boss/QuarterBack/Default,Boss/QuarterBack,512,512,512×512,8
Boss/QuarterBack/Default,Boss/QuarterBack,256,256,256×256,2
Boss/RedBack/Default,Boss/RedBack,2048,2048,2048×2048,6
Boss/RedBack/Default,Boss/RedBack,1024,1024,1024×1024,11
Boss/RedBack/Default,Boss/RedBack,512,512,512×512,10
Boss/RedBack/Default,Boss/RedBack,256,256,256×256,4
Boss/RedBack/Default,Boss/RedBack,64,64,64×64,1
Boss/RexBoss/Default,Boss/RexBoss,2048,2048,2048×2048,10
Boss/RexBoss/Default,Boss/RexBoss,1024,1024,1024×1024,20
Boss/RexBoss/Default,Boss/RexBoss,1024,512,1024×512,2
Boss/RexBoss/Default,Boss/RexBoss,512,512,512×512,24
Boss/RexBoss/Default,Boss/RexBoss,256,256,256×256,7
Boss/RexBoss/Default,Boss/RexBoss,128,128,128×128,3
Boss/RexBoss/Default,Boss/RexBoss,64,64,64×64,1
Boss/Supervisor/Default,Boss/Supervisor,2048,2048,2048×2048,8
Boss/Supervisor/Default,Boss/Supervisor,1024,1024,1024×1024,12
Boss/Supervisor/Default,Boss/Supervisor,512,512,512×512,5
Boss/Supervisor/Default,Boss/Supervisor,256,256,256×256,1
Boss/Vulture/Default,Boss/Vulture,2048,2048,2048×2048,10
Boss/Vulture/Default,Boss/Vulture,1024,1024,1024×1024,15
Boss/Vulture/Default,Boss/Vulture,512,512,512×512,12
Boss/Vulture/Default,Boss/Vulture,256,256,256×256,2
Boss/Vulture/Default,Boss/Vulture,128,128,128×128,1
Hero/Alf/Default/Combat,Hero/Alf,2048,2048,2048×2048,8
Hero/Alf/Default/Combat,Hero/Alf,1024,1024,1024×1024,20
Hero/Alf/Default/Combat,Hero/Alf,1024,512,1024×512,3
Hero/Alf/Default/Combat,Hero/Alf,512,512,512×512,32
Hero/Alf/Default/Combat,Hero/Alf,512,256,512×256,3
Hero/Alf/Default/Combat,Hero/Alf,256,256,256×256,16
Hero/Alf/Default/Combat,Hero/Alf,256,128,256×128,1
Hero/Alf/Default/Combat,Hero/Alf,128,128,128×128,2
Hero/Alf/Default/Combat,Hero/Alf,128,64,128×64,1
Hero/Alf/Default/Combat,Hero/Alf,64,64,64×64,1
Hero/Alf/Default/Show,Hero/Alf,2048,2048,2048×2048,1
Hero/Alf/Default/Show,Hero/Alf,1024,1024,1024×1024,5
Hero/Alf/Default/Show,Hero/Alf,512,512,512×512,9
Hero/Alf/Default/Show,Hero/Alf,256,256,256×256,4
Hero/Alf/Default/Show,Hero/Alf,128,128,128×128,1
Hero/Alf/Default/Show,Hero/Alf,64,64,64×64,1
Hero/Argos/Default/Combat,Hero/Argos,2048,2048,2048×2048,8
Hero/Argos/Default/Combat,Hero/Argos,1024,1024,1024×1024,14
Hero/Argos/Default/Combat,Hero/Argos,1024,512,1024×512,2
Hero/Argos/Default/Combat,Hero/Argos,256,1536,256×1536,1
Hero/Argos/Default/Combat,Hero/Argos,512,512,512×512,16
Hero/Argos/Default/Combat,Hero/Argos,512,256,512×256,5
Hero/Argos/Default/Combat,Hero/Argos,256,256,256×256,6
Hero/Argos/Default/Combat,Hero/Argos,256,128,256×128,3
Hero/Argos/Default/Combat,Hero/Argos,128,128,128×128,2
Hero/Argos/Default/Combat,Hero/Argos,128,64,128×64,1
Hero/Argos/Default/Combat,Hero/Argos,64,64,64×64,1
Hero/Argos/Default/Show,Hero/Argos,2048,2048,2048×2048,1
Hero/Argos/Default/Show,Hero/Argos,1024,1024,1024×1024,3
Hero/Argos/Default/Show,Hero/Argos,512,512,512×512,3
Hero/Argos/Default/Show,Hero/Argos,256,256,256×256,3
Hero/Argos/Default/Show,Hero/Argos,128,128,128×128,1
Hero/Argos/Default/Show,Hero/Argos,64,64,64×64,1
Hero/Ashley/Default/Combat,Hero/Ashley,2048,2048,2048×2048,17
Hero/Ashley/Default/Combat,Hero/Ashley,1024,1024,1024×1024,24
Hero/Ashley/Default/Combat,Hero/Ashley,1024,512,1024×512,2
Hero/Ashley/Default/Combat,Hero/Ashley,512,512,512×512,33
Hero/Ashley/Default/Combat,Hero/Ashley,512,256,512×256,3
Hero/Ashley/Default/Combat,Hero/Ashley,256,256,256×256,9
Hero/Ashley/Default/Combat,Hero/Ashley,256,128,256×128,1
Hero/Ashley/Default/Combat,Hero/Ashley,128,128,128×128,4
Hero/Ashley/Default/Combat,Hero/Ashley,64,64,64×64,1
Hero/Ashley/Default/Combat,Hero/Ashley,1,1,1×1,1
Hero/Ashley/Default/Show,Hero/Ashley,2048,2048,2048×2048,1
Hero/Ashley/Default/Show,Hero/Ashley,1024,1024,1024×1024,10
Hero/Ashley/Default/Show,Hero/Ashley,1024,512,1024×512,2
Hero/Ashley/Default/Show,Hero/Ashley,512,512,512×512,10
Hero/Ashley/Default/Show,Hero/Ashley,512,256,512×256,1
Hero/Ashley/Default/Show,Hero/Ashley,256,256,256×256,7
Hero/Ashley/Default/Show,Hero/Ashley,128,128,128×128,1
Hero/Ashley/Default/Show,Hero/Ashley,64,64,64×64,1
Hero/Ashley/World/Combat,Hero/Ashley,2048,2048,2048×2048,10
Hero/Ashley/World/Combat,Hero/Ashley,1024,1024,1024×1024,10
Hero/Ashley/World/Combat,Hero/Ashley,512,512,512×512,16
Hero/Ashley/World/Combat,Hero/Ashley,256,256,256×256,5
Hero/Ashley/World/Combat,Hero/Ashley,128,128,128×128,2
Hero/Ashley/World/Combat,Hero/Ashley,64,64,64×64,1
Hero/Bentham/Default/Combat,Hero/Bentham,2048,2048,2048×2048,10
Hero/Bentham/Default/Combat,Hero/Bentham,1024,1024,1024×1024,16
Hero/Bentham/Default/Combat,Hero/Bentham,1024,512,1024×512,2
Hero/Bentham/Default/Combat,Hero/Bentham,512,1024,512×1024,1
Hero/Bentham/Default/Combat,Hero/Bentham,512,512,512×512,19
Hero/Bentham/Default/Combat,Hero/Bentham,512,256,512×256,1
Hero/Bentham/Default/Combat,Hero/Bentham,256,256,256×256,7
Hero/Bentham/Default/Combat,Hero/Bentham,128,128,128×128,2
Hero/Bentham/Default/Combat,Hero/Bentham,64,64,64×64,1
Hero/Bentham/Default/Show,Hero/Bentham,2048,2048,2048×2048,2
Hero/Bentham/Default/Show,Hero/Bentham,1024,1024,1024×1024,8
Hero/Bentham/Default/Show,Hero/Bentham,512,1024,512×1024,1
Hero/Bentham/Default/Show,Hero/Bentham,512,512,512×512,6
Hero/Bentham/Default/Show,Hero/Bentham,256,256,256×256,4
Hero/Bentham/Default/Show,Hero/Bentham,128,128,128×128,1
Hero/Bentham/Default/Show,Hero/Bentham,64,64,64×64,1
Hero/Cynthia/Default/Combat,Hero/Cynthia,2048,2048,2048×2048,9
Hero/Cynthia/Default/Combat,Hero/Cynthia,1024,1024,1024×1024,24
Hero/Cynthia/Default/Combat,Hero/Cynthia,1024,512,1024×512,2
Hero/Cynthia/Default/Combat,Hero/Cynthia,512,512,512×512,41
Hero/Cynthia/Default/Combat,Hero/Cynthia,512,256,512×256,3
Hero/Cynthia/Default/Combat,Hero/Cynthia,256,256,256×256,15
Hero/Cynthia/Default/Combat,Hero/Cynthia,128,128,128×128,3
Hero/Cynthia/Default/Combat,Hero/Cynthia,64,64,64×64,1
Hero/Cynthia/Default/Show,Hero/Cynthia,2048,2048,2048×2048,1
Hero/Cynthia/Default/Show,Hero/Cynthia,1024,1024,1024×1024,3
Hero/Cynthia/Default/Show,Hero/Cynthia,1024,512,1024×512,2
Hero/Cynthia/Default/Show,Hero/Cynthia,512,512,512×512,6
Hero/Cynthia/Default/Show,Hero/Cynthia,512,256,512×256,2
Hero/Cynthia/Default/Show,Hero/Cynthia,256,256,256×256,5
Hero/Cynthia/Default/Show,Hero/Cynthia,128,128,128×128,1
Hero/Cynthia/Default/Show,Hero/Cynthia,64,64,64×64,2
Hero/Firtho/Default/Combat,Hero/Firtho,2048,2048,2048×2048,8
Hero/Firtho/Default/Combat,Hero/Firtho,1024,1024,1024×1024,14
Hero/Firtho/Default/Combat,Hero/Firtho,512,512,512×512,18
Hero/Firtho/Default/Combat,Hero/Firtho,256,256,256×256,7
Hero/Firtho/Default/Combat,Hero/Firtho,128,128,128×128,1
Hero/Firtho/Default/Combat,Hero/Firtho,64,64,64×64,1
Hero/Firtho/Default/Show,Hero/Firtho,1024,1024,1024×1024,2
Hero/Firtho/Default/Show,Hero/Firtho,512,512,512×512,4
Hero/Firtho/Default/Show,Hero/Firtho,256,256,256×256,4
Hero/Firtho/Default/Show,Hero/Firtho,128,128,128×128,1
Hero/Firtho/Default/Show,Hero/Firtho,64,64,64×64,1
Hero/Gratia/Default/Combat,Hero/Gratia,2048,2048,2048×2048,14
Hero/Gratia/Default/Combat,Hero/Gratia,1024,1024,1024×1024,31
Hero/Gratia/Default/Combat,Hero/Gratia,512,512,512×512,31
Hero/Gratia/Default/Combat,Hero/Gratia,256,256,256×256,8
Hero/Gratia/Default/Combat,Hero/Gratia,128,128,128×128,1
Hero/Gratia/Default/Combat,Hero/Gratia,64,64,64×64,1
Hero/Gratia/Default/Show,Hero/Gratia,2048,2048,2048×2048,1
Hero/Gratia/Default/Show,Hero/Gratia,1024,1024,1024×1024,2
Hero/Gratia/Default/Show,Hero/Gratia,512,512,512×512,4
Hero/Gratia/Default/Show,Hero/Gratia,256,256,256×256,4
Hero/Gratia/Default/Show,Hero/Gratia,128,128,128×128,1
Hero/Gratia/Default/Show,Hero/Gratia,64,64,64×64,1
Hero/Grimm/Default/Combat,Hero/Grimm,2048,2048,2048×2048,9
Hero/Grimm/Default/Combat,Hero/Grimm,1024,1024,1024×1024,12
Hero/Grimm/Default/Combat,Hero/Grimm,512,512,512×512,18
Hero/Grimm/Default/Combat,Hero/Grimm,256,256,256×256,11
Hero/Grimm/Default/Combat,Hero/Grimm,128,128,128×128,2
Hero/Grimm/Default/Combat,Hero/Grimm,64,64,64×64,1
Hero/Grimm/Default/Show,Hero/Grimm,2048,2048,2048×2048,2
Hero/Grimm/Default/Show,Hero/Grimm,1024,1024,1024×1024,2
Hero/Grimm/Default/Show,Hero/Grimm,512,512,512×512,3
Hero/Grimm/Default/Show,Hero/Grimm,256,256,256×256,4
Hero/Grimm/Default/Show,Hero/Grimm,128,128,128×128,1
Hero/Grimm/Default/Show,Hero/Grimm,64,64,64×64,1
Hero/Guna/Default/Combat,Hero/Guna,2048,2048,2048×2048,8
Hero/Guna/Default/Combat,Hero/Guna,1024,1024,1024×1024,15
Hero/Guna/Default/Combat,Hero/Guna,512,512,512×512,22
Hero/Guna/Default/Combat,Hero/Guna,256,256,256×256,9
Hero/Guna/Default/Combat,Hero/Guna,128,128,128×128,1
Hero/Guna/Default/Combat,Hero/Guna,64,64,64×64,1
Hero/Guna/Default/Combat,Hero/Guna,128,1,128×1,1
Hero/Guna/Default/Show,Hero/Guna,2048,2048,2048×2048,1
Hero/Guna/Default/Show,Hero/Guna,1024,1024,1024×1024,5
Hero/Guna/Default/Show,Hero/Guna,512,512,512×512,6
Hero/Guna/Default/Show,Hero/Guna,256,256,256×256,7
Hero/Guna/Default/Show,Hero/Guna,128,128,128×128,1
Hero/Guna/Default/Show,Hero/Guna,64,64,64×64,1
Hero/Hugin/Default/Combat,Hero/Hugin,2048,2048,2048×2048,12
Hero/Hugin/Default/Combat,Hero/Hugin,1024,1024,1024×1024,21
Hero/Hugin/Default/Combat,Hero/Hugin,1024,512,1024×512,2
Hero/Hugin/Default/Combat,Hero/Hugin,512,512,512×512,21
Hero/Hugin/Default/Combat,Hero/Hugin,512,256,512×256,2
Hero/Hugin/Default/Combat,Hero/Hugin,256,256,256×256,7
Hero/Hugin/Default/Combat,Hero/Hugin,128,128,128×128,1
Hero/Hugin/Default/Combat,Hero/Hugin,64,64,64×64,1
Hero/Hugin/Default/Show,Hero/Hugin,2048,2048,2048×2048,1
Hero/Hugin/Default/Show,Hero/Hugin,1024,1024,1024×1024,5
Hero/Hugin/Default/Show,Hero/Hugin,512,512,512×512,5
Hero/Hugin/Default/Show,Hero/Hugin,256,256,256×256,3
Hero/Hugin/Default/Show,Hero/Hugin,256,128,256×128,2
Hero/Hugin/Default/Show,Hero/Hugin,128,128,128×128,1
Hero/Hugin/Default/Show,Hero/Hugin,128,64,128×64,1
Hero/Hugin/Default/Show,Hero/Hugin,64,64,64×64,1
Hero/Lisa/Default/Combat,Hero/Lisa,2048,2048,2048×2048,8
Hero/Lisa/Default/Combat,Hero/Lisa,1024,1024,1024×1024,19
Hero/Lisa/Default/Combat,Hero/Lisa,512,512,512×512,28
Hero/Lisa/Default/Combat,Hero/Lisa,256,256,256×256,16
Hero/Lisa/Default/Combat,Hero/Lisa,128,128,128×128,2
Hero/Lisa/Default/Combat,Hero/Lisa,64,64,64×64,1
Hero/Lisa/Default/Show,Hero/Lisa,2048,2048,2048×2048,1
Hero/Lisa/Default/Show,Hero/Lisa,1024,1024,1024×1024,3
Hero/Lisa/Default/Show,Hero/Lisa,512,512,512×512,6
Hero/Lisa/Default/Show,Hero/Lisa,256,256,256×256,4
Hero/Lisa/Default/Show,Hero/Lisa,128,128,128×128,1
Hero/Lisa/Default/Show,Hero/Lisa,64,64,64×64,1
Hero/Lorin/Default/Combat,Hero/Lorin,2048,2048,2048×2048,9
Hero/Lorin/Default/Combat,Hero/Lorin,1024,1024,1024×1024,15
Hero/Lorin/Default/Combat,Hero/Lorin,512,512,512×512,15
Hero/Lorin/Default/Combat,Hero/Lorin,512,256,512×256,3
Hero/Lorin/Default/Combat,Hero/Lorin,256,256,256×256,9
Hero/Lorin/Default/Combat,Hero/Lorin,256,128,256×128,3
Hero/Lorin/Default/Combat,Hero/Lorin,128,128,128×128,2
Hero/Lorin/Default/Combat,Hero/Lorin,128,64,128×64,1
Hero/Lorin/Default/Combat,Hero/Lorin,64,64,64×64,2
Hero/Lorin/Default/Show,Hero/Lorin,2048,2048,2048×2048,1
Hero/Lorin/Default/Show,Hero/Lorin,1024,1024,1024×1024,3
Hero/Lorin/Default/Show,Hero/Lorin,512,512,512×512,2
Hero/Lorin/Default/Show,Hero/Lorin,256,256,256×256,4
Hero/Lorin/Default/Show,Hero/Lorin,128,128,128×128,1
Hero/Lorin/Default/Show,Hero/Lorin,64,64,64×64,1
Hero/Munin/Default/Combat,Hero/Munin,2048,2048,2048×2048,8
Hero/Munin/Default/Combat,Hero/Munin,1024,1024,1024×1024,18
Hero/Munin/Default/Combat,Hero/Munin,1024,512,1024×512,4
Hero/Munin/Default/Combat,Hero/Munin,512,512,512×512,21
Hero/Munin/Default/Combat,Hero/Munin,512,256,512×256,5
Hero/Munin/Default/Combat,Hero/Munin,256,256,256×256,9
Hero/Munin/Default/Combat,Hero/Munin,128,128,128×128,3
Hero/Munin/Default/Combat,Hero/Munin,64,64,64×64,1
Hero/Munin/Default/Show,Hero/Munin,1024,1024,1024×1024,10
Hero/Munin/Default/Show,Hero/Munin,1024,512,1024×512,2
Hero/Munin/Default/Show,Hero/Munin,512,512,512×512,10
Hero/Munin/Default/Show,Hero/Munin,512,256,512×256,3
Hero/Munin/Default/Show,Hero/Munin,256,256,256×256,7
Hero/Munin/Default/Show,Hero/Munin,256,128,256×128,2
Hero/Munin/Default/Show,Hero/Munin,128,128,128×128,1
Hero/Munin/Default/Show,Hero/Munin,128,64,128×64,1
Hero/Munin/Default/Show,Hero/Munin,64,64,64×64,1
Hero/Rex/Default/Combat,Hero/Rex,2048,2048,2048×2048,10
Hero/Rex/Default/Combat,Hero/Rex,1024,1024,1024×1024,14
Hero/Rex/Default/Combat,Hero/Rex,512,512,512×512,20
Hero/Rex/Default/Combat,Hero/Rex,256,256,256×256,8
Hero/Rex/Default/Combat,Hero/Rex,128,128,128×128,1
Hero/Rex/Default/Combat,Hero/Rex,64,64,64×64,1
Hero/Rex/Default/Show,Hero/Rex,2048,2048,2048×2048,1
Hero/Rex/Default/Show,Hero/Rex,1024,1024,1024×1024,4
Hero/Rex/Default/Show,Hero/Rex,512,512,512×512,3
Hero/Rex/Default/Show,Hero/Rex,256,256,256×256,4
Hero/Rex/Default/Show,Hero/Rex,128,128,128×128,1
Hero/Rex/Default/Show,Hero/Rex,64,64,64×64,1
Hero/Rosy/Default/Combat,Hero/Rosy,2048,2048,2048×2048,10
Hero/Rosy/Default/Combat,Hero/Rosy,1024,1024,1024×1024,20
Hero/Rosy/Default/Combat,Hero/Rosy,512,512,512×512,28
Hero/Rosy/Default/Combat,Hero/Rosy,256,256,256×256,14
Hero/Rosy/Default/Combat,Hero/Rosy,128,128,128×128,3
Hero/Rosy/Default/Combat,Hero/Rosy,64,64,64×64,1
Hero/Rosy/Default/Show,Hero/Rosy,2048,2048,2048×2048,3
Hero/Rosy/Default/Show,Hero/Rosy,1024,1024,1024×1024,4
Hero/Rosy/Default/Show,Hero/Rosy,512,512,512×512,9
Hero/Rosy/Default/Show,Hero/Rosy,256,256,256×256,7
Hero/Rosy/Default/Show,Hero/Rosy,128,128,128×128,4
Hero/Rosy/Default/Show,Hero/Rosy,64,64,64×64,4
Hero/Rosy/Default/Show,Hero/Rosy,32,32,32×32,1
Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,2048,2048,2048×2048,6
Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,1024,1024,1024×1024,15
Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,512,512,512×512,13
Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,256,256,256×256,4
Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,128,128,128×128,2
Mob/CandleMob/CandleStub/Default,Mob/CandleMob/CandleStub,2048,2048,2048×2048,2
Mob/CandleMob/CandleStub/Default,Mob/CandleMob/CandleStub,1024,1024,1024×1024,2
Mob/CandleMob/Candleman/Default,Mob/CandleMob/Candleman,2048,2048,2048×2048,8
Mob/CandleMob/Candleman/Default,Mob/CandleMob/Candleman,1024,1024,1024×1024,9
Mob/CandleMob/Candleman/Default,Mob/CandleMob/Candleman,128,128,128×128,1
Mob/Cargo/CargoProtector/Default,Mob/Cargo/CargoProtector,2048,2048,2048×2048,2
Mob/Cargo/CargoProtector/Default,Mob/Cargo/CargoProtector,1024,1024,1024×1024,2
Mob/ChastDefault/Chastener/Default,Mob/ChastDefault/Chastener,2048,2048,2048×2048,6
Mob/ChastDefault/Chastener/Default,Mob/ChastDefault/Chastener,1024,1024,1024×1024,5
Mob/ChastDefault/Chastener/Default,Mob/ChastDefault/Chastener,512,512,512×512,3
Mob/Chav/ChavChubby/Default,Mob/Chav/ChavChubby,2048,2048,2048×2048,7
Mob/Chav/ChavChubby/Default,Mob/Chav/ChavChubby,1024,1024,1024×1024,7
Mob/Chav/ChavChubby/Default,Mob/Chav/ChavChubby,512,512,512×512,6
Mob/Chav/ChavChubby/Default,Mob/Chav/ChavChubby,256,256,256×256,1
Mob/Cicada/Default,Mob/Cicada,2048,2048,2048×2048,4
Mob/Cicada/Default,Mob/Cicada,1024,1024,1024×1024,4
Mob/Debt/DebtCollector/Default,Mob/Debt/DebtCollector,2048,2048,2048×2048,7
Mob/Debt/DebtCollector/Default,Mob/Debt/DebtCollector,1024,1024,1024×1024,8
Mob/Debt/DebtCollector/Default,Mob/Debt/DebtCollector,512,512,512×512,3
Mob/Debt/DebtCollector/Default,Mob/Debt/DebtCollector,256,256,256×256,1
Mob/DroneDefault/Default,Mob/DroneDefault,1024,1024,1024×1024,2
Mob/DroneDefault/Default,Mob/DroneDefault,512,512,512×512,2
Mob/DroneDefault/Default,Mob/DroneDefault,256,256,256×256,2
Mob/DroneDefault/Default,Mob/DroneDefault,128,128,128×128,2
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,2048,2048,2048×2048,5
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,1024,1024,1024×1024,6
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,512,512,512×512,3
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,256,256,256×256,2
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,128,128,128×128,4
Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,64,64,64×64,1
Mob/Female/EnforcerIron/Default,Mob/Female/EnforcerIron,2048,2048,2048×2048,5
Mob/Female/EnforcerIron/Default,Mob/Female/EnforcerIron,1024,1024,1024×1024,8
Mob/Female/EnforcerIron/Default,Mob/Female/EnforcerIron,512,512,512×512,9
Mob/Female/EnforcerIron/Default,Mob/Female/EnforcerIron,256,256,256×256,1
Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,2048,2048,2048×2048,5
Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,1024,1024,1024×1024,8
Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,512,512,512×512,9
Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,256,256,256×256,2
Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,128,128,128×128,1
Mob/Fish/SilverFish/Default,Mob/Fish/SilverFish,2048,2048,2048×2048,3
Mob/Fish/SilverFish/Default,Mob/Fish/SilverFish,1024,1024,1024×1024,1
Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,2048,2048,2048×2048,3
Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,1024,1024,1024×1024,5
Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,512,512,512×512,5
Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,512,128,512×128,1
Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,256,256,256×256,1
Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,2048,2048,2048×2048,5
Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,1024,1024,1024×1024,4
Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,1024,512,1024×512,1
Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,512,512,512×512,2
Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,256,256,256×256,2
Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,2048,2048,2048×2048,3
Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,1024,1024,1024×1024,5
Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,1024,256,1024×256,1
Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,512,512,512×512,6
Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,256,256,256×256,1
Mob/Fish/SilverFishGravity/Default,Mob/Fish/SilverFish,2048,2048,2048×2048,3
