scope,key,logical_character_id,assembly_group,type_or_category,name,visual_variant,state,is_primary,role_mesh_count,weapon_mesh_count,role_weapon_mesh_count,pet_mesh_count,summon_mesh_count,prop_mesh_count,incar_mesh_count,mesh_count_total,lod0_role_triangle_count,lod0_role_weapon_triangle_count,lod0_pet_triangle_count,lod0_summon_triangle_count,lod0_prop_triangle_count,lod0_incar_triangle_count,lod0_role_bone_count,lod0_role_weapon_bone_count,lod0_pet_bone_count,lod0_summon_bone_count,lod0_prop_bone_count,lod0_incar_bone_count,role_reference_bone_count,role_weapon_reference_bone_count,animation_count_core,animation_count_all,animation_total_seconds_core,animation_total_seconds_all,texture_count,texture_cube_count,maximum_lod_count,notes
character_bundle,Boss/Supervisor/Default,Boss/Supervisor,main,Boss,Supervisor,Default,Default,True,1,6,7,0,0,0,0,7,125417,226701,0,0,0,0,226,274,0,0,0,0,341,414,153,173,522.083333,648.816665,26,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/Vulture/Default,Boss/Vulture,main,Boss,Vulture,Default,Default,True,1,0,1,0,0,0,0,1,116707,116707,0,0,0,0,354,354,0,0,0,0,481,481,74,74,230.816665,230.816665,40,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Alf/Default/Combat,Hero/Alf,main,Hero,Alf,Default,Combat,True,4,4,8,0,0,0,0,8,95372,148129,0,0,0,0,199,286,0,0,0,0,433,538,948,1684,2276.850007,6484.733344,87,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Argos/Default/Combat,Hero/Argos,main,Hero,Argos,Default,Combat,True,4,5,9,0,0,0,0,9,77111,119953,0,0,0,0,171,200,0,0,0,0,368,409,776,877,1517.266667,2135.849996,59,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Ashley/Default/Combat,Hero/Ashley,main,Hero,Ashley,Default,Combat,True,4,8,12,0,0,0,0,12,124731,424760,0,0,0,0,178,970,0,0,0,0,511,1528,798,860,1730.1,2221.566671,95,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Ashley/World/Combat,Hero/Ashley,extra,Hero,Ashley,World,Combat,False,4,0,4,0,0,0,0,4,113432,113432,0,0,0,0,228,228,0,0,0,0,466,466,10,11,56.066667,72.066667,44,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Bentham/Default/Combat,Hero/Bentham,main,Hero,Bentham,Default,Combat,True,4,1,5,0,0,0,0,5,108284,118118,0,0,0,0,209,240,0,0,0,0,448,484,777,873,1804.233338,2576.533336,59,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Cynthia/Default/Combat,Hero/Cynthia,main,Hero,Cynthia,Default,Combat,True,4,3,7,4,0,0,0,11,110213,138260,16819,0,0,0,186,212,211,0,0,0,380,410,998,1886,2364.36666,7311.91665,98,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Firtho/Default/Combat,Hero/Firtho,main,Hero,Firtho,Default,Combat,True,3,2,5,0,0,0,0,5,71871,81179,0,0,0,0,178,190,0,0,0,0,379,398,848,2014,1965.933333,8419.433332,49,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Gratia/Default/Combat,Hero/Gratia,main,Hero,Gratia,Default,Combat,True,4,4,8,0,0,0,0,8,242705,288094,0,0,0,0,270,292,0,0,0,0,511,546,801,1411,1920.366664,5387.266669,86,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Grimm/Default/Combat,Hero/Grimm,main,Hero,Grimm,Default,Combat,True,5,7,12,0,0,0,0,12,95741,115989,0,0,0,0,166,204,0,0,0,0,371,411,823,1023,1734.483331,2961.716665,53,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Guna/Default/Combat,Hero/Guna,main,Hero,Guna,Default,Combat,True,4,1,5,0,0,0,0,5,105250,119955,0,0,0,0,279,279,0,0,0,0,499,499,451,482,702.716665,994.649997,57,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Hugin/Default/Combat,Hero/Hugin,main,Hero,Hugin,Default,Combat,True,6,2,8,0,0,0,0,8,221554,264477,0,0,0,0,250,267,0,0,0,0,496,536,989,7586,2513.800002,32058.583318,67,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Lisa/Default/Combat,Hero/Lisa,main,Hero,Lisa,Default,Combat,True,4,8,12,1,0,0,0,13,85282,144519,17458,0,0,0,257,597,77,0,0,0,509,944,499,587,1052.166668,2057.449996,74,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Lorin/Default/Combat,Hero/Lorin,main,Hero,Lorin,Default,Combat,True,4,2,6,0,0,0,0,6,83200,86276,0,0,0,0,166,173,0,0,0,0,312,336,860,2019,1766.799999,7434.63334,59,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Munin/Default/Combat,Hero/Munin,main,Hero,Munin,Default,Combat,True,6,2,8,0,0,0,0,8,214494,257188,0,0,0,0,172,189,0,0,0,0,394,434,1191,9267,3017.049999,37825.983333,69,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Rex/Default/Combat,Hero/Rex,main,Hero,Rex,Default,Combat,True,5,1,6,0,0,0,0,6,122955,138809,0,0,0,0,177,177,0,0,0,0,410,410,718,1001,1477.866665,2976.933331,54,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Hero/Rosy/Default/Combat,Hero/Rosy,main,Hero,Rosy,Default,Combat,True,4,8,12,0,0,0,0,12,184061,248373,0,0,0,0,264,463,0,0,0,0,483,690,842,1585,2210.166672,6857.500009,76,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/Butler/Default,Mob/Male/Butler,main,Mob,Butler,Default,Default,True,1,4,5,0,0,0,0,5,37518,48946,0,0,0,0,102,106,0,0,0,0,147,156,110,134,220.766666,329.499999,23,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/CandleMob/Candleman/Default,Mob/CandleMob/Candleman,main,Mob,Candleman,Default,Default,True,3,0,3,0,0,0,0,3,,,0,0,0,0,,,0,0,0,0,316,316,103,363,232.633334,715.433334,18,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/CandleMob/CandleStub/Default,Mob/CandleMob/CandleStub,main,Mob,CandleStub,Default,Default,True,1,0,1,0,0,0,0,1,5756,5756,0,0,0,0,19,19,0,0,0,0,32,32,42,42,57.666667,57.666667,4,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Cargo/CargoProtector/Default,Mob/Cargo/CargoProtector,main,Mob,CargoProtector,Default,Default,True,1,0,1,0,0,0,0,1,77157,77157,0,0,0,0,84,84,0,0,0,0,162,162,82,82,224.066668,224.066668,4,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/ChastDefault/Chastener/Default,Mob/ChastDefault/Chastener,main,Mob,Chastener,Default,Default,True,1,0,1,0,0,0,0,1,56442,56442,0,0,0,0,83,83,0,0,0,0,185,185,117,117,288.483335,288.483335,14,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Chav/ChavChubby/Default,Mob/Chav/ChavChubby,main,Mob,ChavChubby,Default,Default,True,1,0,1,0,0,0,0,1,55415,55415,0,0,0,0,117,117,0,0,0,0,160,160,127,127,281.916667,281.916667,21,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Cicada/Default,Mob/Cicada,main,Mob,Cicada,Default,Default,True,2,0,2,0,0,0,0,2,32768,32768,0,0,0,0,143,143,0,0,0,0,201,201,0,0,0.0,0.0,8,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Debt/DebtCollector/Default,Mob/Debt/DebtCollector,main,Mob,DebtCollector,Default,Default,True,1,1,2,0,0,0,0,2,60965,70601,0,0,0,0,136,142,0,0,0,0,239,247,121,123,291.85,310.95,19,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/DroneDefault/Default,Mob/DroneDefault,main,Mob,DroneDefault,Default,Default,True,1,1,2,0,0,0,0,2,24005,25929,0,0,0,0,24,27,0,0,0,0,30,33,79,79,84.983334,84.983334,8,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/Enforcer/Default,Mob/Male/Enforcer,main,Mob,Enforcer,Default,Default,True,4,6,10,0,0,0,0,10,134638,157728,0,0,0,0,248,282,0,0,0,0,352,412,290,378,588.633335,1108.816679,38,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Female/EnforcerFemale/Default,Mob/Female/EnforcerFemale,main,Mob,EnforcerFemale,Default,Default,True,1,2,3,0,0,0,0,3,39214,49550,0,0,0,0,80,101,0,0,0,0,121,145,126,126,320.88333,320.88333,21,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Female/EnforcerIron/Default,Mob/Female/EnforcerIron,main,Mob,EnforcerIron,Default,Default,True,1,1,2,0,0,0,0,2,51922,63885,0,0,0,0,172,174,0,0,0,0,268,274,113,113,250.949999,250.949999,23,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/EnforcerLeader/Default,Mob/Male/EnforcerLeader,main,Mob,EnforcerLeader,Default,Default,True,2,1,3,0,0,0,0,3,88512,96952,0,0,0,0,92,99,0,0,0,0,173,185,103,131,336.766665,457.033333,13,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Guard/GuardKnight/Default,Mob/Guard/GuardKnight,main,Mob,GuardKnight,Default,Default,True,1,1,2,0,0,0,0,2,49911,59677,0,0,0,0,128,130,0,0,0,0,169,175,97,145,219.683335,391.150002,11,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Harpy/HarpyDefault/Default,Mob/Harpy/HarpyDefault,main,Mob,HarpyDefault,Default,Default,True,1,0,1,0,0,0,0,1,50452,50452,0,0,0,0,201,201,0,0,0,0,320,320,76,90,175.566666,220.066666,13,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/HoodieLeader/Default,Mob/Male/HoodieLeader,main,Mob,HoodieLeader,Default,Default,True,1,4,5,0,0,0,0,5,46546,62082,0,0,0,0,100,110,0,0,0,0,132,142,102,102,223.400002,223.400002,26,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/HoodieMan/Default,Mob/Male/HoodieMan,main,Mob,HoodieMan,Default,Default,True,1,2,3,0,0,0,0,3,41753,47693,0,0,0,0,96,98,0,0,0,0,128,130,239,240,694.666665,695.083332,18,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Female/HoodieWoman/Default,Mob/Female/HoodieWoman,main,Mob,HoodieWoman,Default,Default,True,1,2,3,0,0,0,0,3,44752,51576,0,0,0,0,107,116,0,0,0,0,143,152,231,231,660.716667,660.716667,25,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Bayonet/MaidBayonet/Default,Mob/Bayonet/MaidBayonet,main,Mob,MaidBayonet,Default,Default,True,2,4,6,0,0,0,0,6,145020,157289,0,0,0,0,234,248,0,0,0,0,345,384,223,258,480.616666,583.149999,40,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Shield/MaidShield/Default,Mob/Shield/MaidShield,main,Mob,MaidShield,Default,Default,True,1,5,6,0,0,0,0,6,72735,112011,0,0,0,0,317,341,0,0,0,0,426,475,120,142,379.300001,471.666668,45,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Manhole/ManholeCover/Default,Mob/Manhole/ManholeCover,main,Mob,ManholeCover,Default,Default,True,2,0,2,0,0,0,0,2,19289,19289,0,0,0,0,15,15,0,0,0,0,17,17,19,19,26.633333,26.633333,6,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/Ork/Default,Mob/Male/Ork,main,Mob,Ork,Default,Default,True,1,6,7,0,0,0,0,7,48663,76565,0,0,0,0,89,100,0,0,0,0,125,136,101,101,223.05,223.05,12,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/RabiesFemale/RabiesMaba/Default,Mob/RabiesFemale/RabiesMaba,main,Mob,RabiesMaba,Default,Default,True,1,1,2,0,0,0,0,2,40766,41102,0,0,0,0,122,125,0,0,0,0,168,171,109,109,258.716666,258.716666,28,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/RabiesMale/RabiesPaba/Default,Mob/RabiesMale/RabiesPaba,main,Mob,RabiesPaba,Default,Default,True,1,0,1,0,0,0,0,1,36335,36335,0,0,0,0,102,102,0,0,0,0,141,141,105,105,244.616667,244.616667,28,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFish/Default,Mob/Fish/SilverFish,main,Mob,SilverFish,SilverFish,Default,True,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,4,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishEletrical/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishEletrical,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,15,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishFallout/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishFallout,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,14,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishFire/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishFire,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,16,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishGravity/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishGravity,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,15,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishIce/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishIce,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,16,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishRust/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishRust,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,12,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Fish/SilverFishSilver/Default,Mob/Fish/SilverFish,extra,Mob,SilverFish,SilverFishSilver,Default,False,1,0,1,0,0,0,0,1,8132,8132,0,0,0,0,16,16,0,0,0,0,16,16,66,66,109.6,109.6,14,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/Thug/Default,Mob/Male/Thug,main,Mob,Thug,Default,Default,True,1,4,5,0,0,0,0,5,38419,44881,0,0,0,0,87,91,0,0,0,0,123,127,112,207,291.916665,536.449998,23,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Male/TraineeKnight/Default,Mob/Male/TraineeKnight,main,Mob,TraineeKnight,Default,Default,True,1,3,4,0,0,0,0,4,47688,60184,0,0,0,0,160,166,0,0,0,0,225,243,159,394,314.383333,1092.950003,20,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/WaxMaskWoman/WaxMaskFemale/Default,Mob/WaxMaskWoman/WaxMaskFemale,main,Mob,WaxMaskFemale,Default,Default,True,1,1,2,0,0,0,0,2,29247,30483,0,0,0,0,112,119,0,0,0,0,217,229,84,158,185.150001,357.150001,19,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/WaxMaskMan/WaxMaskMale/Default,Mob/WaxMaskMan/WaxMaskMale,main,Mob,WaxMaskMale,Default,Default,True,1,0,1,0,0,0,0,1,32241,32241,0,0,0,0,65,65,0,0,0,0,141,141,79,215,180.716667,492.549999,20,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Mob/Werewolf/WerewolfDefault/Default,Mob/Werewolf/WerewolfDefault,main,Mob,WerewolfDefault,Default,Default,True,1,0,1,0,0,0,0,1,75019,75019,0,0,0,0,166,166,0,0,0,0,222,222,92,187,198.233335,400.066669,19,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,NPC/Class_A/201005/Default,NPC/Class_A/201005,main,NPC,201005,Default,Default,True,3,0,3,0,0,0,0,3,39596,39596,0,0,0,0,212,212,0,0,0,0,337,337,1,38,32.266666,223.566665,27,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,NPC/Class_A/201016/Default,NPC/Class_A/201016,main,NPC,201016,Default,Default,True,4,0,4,0,0,0,0,4,40540,40540,0,0,0,0,114,114,0,0,0,0,219,219,0,0,0.0,0.0,32,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,NPC/Class_A/203016/Default,NPC/Class_A/203016,main,NPC,203016,Default,Default,True,1,0,1,0,0,0,0,1,4614,4614,0,0,0,0,79,79,0,0,0,0,90,90,2,5,0.066667,37.983334,6,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
