category,texture_path,texture_name,texture_class,width,height,resolution,technical_path
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_504.T_FX_Noise_504,T_FX_Noise_504,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_709_Z.T_FX_Noise_709_Z,T_FX_Noise_709_Z,Texture2D,1024,512,1024×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_901.T_FX_Noise_901,T_FX_Noise_901,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_911.T_FX_Noise_911,T_FX_Noise_911,Texture2D,512,512,512×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FloorMask.T_FloorMask,T_FloorMask,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FloorMask_HeatMask.T_FloorMask_HeatMask,T_FloorMask_HeatMask,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_Lava_Noise2.T_Lava_Noise2,T_Lava_Noise2,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_Lava_Noise3.T_Lava_Noise3,T_Lava_Noise3,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_Noise.T_Noise,T_Noise,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Mask/T_FX_Mask_235.T_FX_Mask_235,T_FX_Mask_235,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Mask/T_FX_Mask_701.T_FX_Mask_701,T_FX_Mask_701,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Noise/T_FX_Noise_267.T_FX_Noise_267,T_FX_Noise_267,Texture2D,512,512,512×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Noise/T_FX_Noise_287.T_FX_Noise_287,T_FX_Noise_287,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_D.T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_D,T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_D,Texture2DArray,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_02_TexArray_LOD2_NRM,Texture2DArray,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_DA.T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_DA,T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_DA,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02_LOD2_NRM,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_D,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_D,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_DA.T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_DA,T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_DA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_07_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_DA.T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_DA,T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_DA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_MRA.T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_MRA,T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_MRA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_N.T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_N,T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_N,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_08_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_D,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_MRA.T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_MRA,T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_MRA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_N.T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_N,T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_N,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_09_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_D,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_E.T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_E,T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_E,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_MRAE.T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_MRAE,T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_MRAE,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_N.T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_N,T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_N,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_14_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_D.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_D,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_D,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_LOD2_NRM,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_DA.T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_DA,T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_DA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/LOD2/T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_LOD2_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_01_TexArray_D.T_Dungeon_Airship_In_BanquetHall_01_TexArray_D,T_Dungeon_Airship_In_BanquetHall_01_TexArray_D,Texture2DArray,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_D.T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_D,T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_D,Texture2DArray,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_NRM.T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_NRM,T_Dungeon_Airship_In_BanquetHall_01_TexArray_LOD2_NRM,Texture2DArray,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_01_TexArray_NRM.T_Dungeon_Airship_In_BanquetHall_01_TexArray_NRM,T_Dungeon_Airship_In_BanquetHall_01_TexArray_NRM,Texture2DArray,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_MRA.T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_MRA,T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_MRA,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_N.T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_N,T_Dungeon_Airship_In_BanquetHall_A_Character_Stone_01_N,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Frame_Glass_01_Mask.T_Dungeon_Airship_In_BanquetHall_A_Frame_Glass_01_Mask,T_Dungeon_Airship_In_BanquetHall_A_Frame_Glass_01_Mask,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_02_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_DA.T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_DA,T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_DA,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_03_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_04_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_11_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_12_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_D.T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_D,T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_D,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_E.T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_E,T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_E,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_NRM.T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_NRM,T_Dungeon_Airship_In_BanquetHall_A_Ornate_20_NRM,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_D.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_D,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_NRM.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_NRM,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_01_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_D.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_D,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_D,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_NRM.T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_NRM,T_Dungeon_Airship_In_BanquetHall_A_Statue_Stone_02_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_DA.T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_DA,T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_DA,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_NRM.T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_NRM,T_Dungeon_Airship_In_BanquetHall_A_TableCloth_Fabric_01_NRM,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_B_Ornate_01_Mask.T_Dungeon_Airship_In_BanquetHall_B_Ornate_01_Mask,T_Dungeon_Airship_In_BanquetHall_B_Ornate_01_Mask,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_B_Ornate_02_Mask.T_Dungeon_Airship_In_BanquetHall_B_Ornate_02_Mask,T_Dungeon_Airship_In_BanquetHall_B_Ornate_02_Mask,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_B_Ornate_03_Mask.T_Dungeon_Airship_In_BanquetHall_B_Ornate_03_Mask,T_Dungeon_Airship_In_BanquetHall_B_Ornate_03_Mask,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_B_Ornate_04_Mask.T_Dungeon_Airship_In_BanquetHall_B_Ornate_04_Mask,T_Dungeon_Airship_In_BanquetHall_B_Ornate_04_Mask,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Textures/T_Dungeon_Airship_In_BanquetHall_B_Ornate_05_Mask.T_Dungeon_Airship_In_BanquetHall_B_Ornate_05_Mask,T_Dungeon_Airship_In_BanquetHall_B_Ornate_05_Mask,Texture2D,512,512,512×512,false
