mesh_path,mesh_name,mesh_class,exclusion_reason
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Decal/Decorate/Gen_Decal_Decorate_Aura/Meshes/SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_01.SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_01,SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_01,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Decal/Decorate/Gen_Decal_Decorate_Aura/Meshes/SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_02.SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_02,SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_02,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Decal/Decorate/Gen_Decal_Decorate_Aura/Meshes/SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_03.SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_03,SM_Gen_Decal_Decorate_Aura_A_Streamer_Wood_03,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Decal/Decorate/Gen_Decal_Decorate_Corrosion/Meshes/SM_Gen_Decal_Decorate_Corrosion_A_Merge_Wood_01.SM_Gen_Decal_Decorate_Corrosion_A_Merge_Wood_01,SM_Gen_Decal_Decorate_Corrosion_A_Merge_Wood_01,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Decal/Graffiti/Gen_Decal_Graffiti_Decryption/Meshes/SM_Gen_Decal_Graffiti_Decryption_A_Digital_Stone_01.SM_Gen_Decal_Graffiti_Decryption_A_Digital_Stone_01,SM_Gen_Decal_Graffiti_Decryption_A_Digital_Stone_01,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_01.Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_01,Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_01,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_04.Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_04,Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_04,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_05.Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_05,Lumen_Gen_Foliage_Yard_Ivy_A_Merge_Wood_05,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_01.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_01,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_01,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_02.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_02,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_02,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_03.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_03,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_03,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_04.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_04,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_04,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_05.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_05,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_05,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_07.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_07,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_07,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Foliage/Yard/Gen_Foliage_Yard_Ivy/Proxy/Lumen/Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_08.Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_08,Lumen_Gen_Foliage_Yard_Lvy_B_Merge_Wood_08,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Prop/Decal/Gen_Prop_Decal_Leaves/Meshes/SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_01.SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_01,SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_01,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Prop/Decal/Gen_Prop_Decal_Leaves/Meshes/SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_02.SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_02,SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_02,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Prop/Decal/Gen_Prop_Decal_Leaves/Meshes/SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_03.SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_03,SM_Gen_Prop_Decal_Leaves_A_Leafpile_Plants_03,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Terrain/Nature/Gen_Terrain_Nature_Cliff/Meshes/Collision/SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_01_Col.SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_01_Col,SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_01_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Terrain/Nature/Gen_Terrain_Nature_Cliff/Meshes/Collision/SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_03_Col.SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_03_Col,SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_03_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Terrain/Nature/Gen_Terrain_Nature_Cliff/Meshes/Collision/SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_05_Col.SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_05_Col,SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_05_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Terrain/Nature/Gen_Terrain_Nature_Cliff/Meshes/Collision/SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_06_Col.SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_06_Col,SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_06_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/GenericAsset/Terrain/Nature/Gen_Terrain_Nature_Cliff/Meshes/Collision/SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_07_Col.SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_07_Col,SM_Gen_Terrain_Nature_Cliff_A_Rock_Stone_07_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/NPC/Int_Gen_FountainPen/Meshes/SK_Int_Gen_NPC_FountainPen_A_Metal_01_WorkFile.SK_Int_Gen_NPC_FountainPen_A_Metal_01_WorkFile,SK_Int_Gen_NPC_FountainPen_A_Metal_01_WorkFile,SkeletalMesh,技术命名
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_02_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_02_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_02_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_04_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_04_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_04_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_05_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_05_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_05_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_06_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_06_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_06_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_07_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_07_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_07_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_A_Metal_08_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_A_Metal_08_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_A_Metal_08_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_01_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_01_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_01_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_02_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_02_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_02_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_05_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_05_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_05_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_06_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_06_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_06_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_07_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_07_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_07_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_10_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_10_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_10_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_11_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_11_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_11_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_12_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_12_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_12_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_13_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_13_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_13_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_14_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_14_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_14_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_15_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_15_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_15_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_16_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_16_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_16_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_17_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_17_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_17_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_18_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_18_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_18_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_19_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_19_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_19_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_20_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_20_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_20_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_21_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_21_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_21_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_22_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_22_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_22_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_23_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_23_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_23_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_24_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_24_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_24_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_25_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_25_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_25_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_26_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_26_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_26_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_27_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_27_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_27_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_28_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_28_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_28_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_29_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_29_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_29_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_30_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_30_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_30_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_31_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_31_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_31_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Int_Gen_MazeWall/Meshes/Collision/SM_Int_Gen_Puzzle_MazeWall_B_Metal_32_Wall_Col.SM_Int_Gen_Puzzle_MazeWall_B_Metal_32_Wall_Col,SM_Int_Gen_Puzzle_MazeWall_B_Metal_32_Wall_Col,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Puzzle_Light_Effect/Mesh/SM_FX_PuzzleLightEffect_007.SM_FX_PuzzleLightEffect_007,SM_FX_PuzzleLightEffect_007,StaticMesh,技术命名
SilverPalace/Content/ArtRes/EnvRes/Interaction/Generic/Puzzle/Puzzle_Light_Effect/Mesh/SM_FX_PuzzleLightEffect_008.SM_FX_PuzzleLightEffect_008,SM_FX_PuzzleLightEffect_008,StaticMesh,技术命名
SilverPalace/Content/ArtRes/EnvRes/Interaction/SEQ/Cutscene/Int_SEQ_Bottle/Meshes/SK_Int_SEQ_Cutscene_Bottle_A_Metal_01.SK_Int_SEQ_Cutscene_Bottle_A_Metal_01,SK_Int_SEQ_Cutscene_Bottle_A_Metal_01,SkeletalMesh,交互序列
SilverPalace/Content/ArtRes/EnvRes/Interaction/SEQ/Cutscene/Int_SEQ_CoffeeBar/Meshes/SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_01.SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_01,SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_01,SkeletalMesh,交互序列
SilverPalace/Content/ArtRes/EnvRes/Interaction/SEQ/Cutscene/Int_SEQ_CoffeeBar/Meshes/SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_02.SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_02,SK_Int_SEQ_Cutscene_CoffeeBar_A_Metal_02,SkeletalMesh,交互序列
SilverPalace/Content/ArtRes/EnvRes/Interaction/SEQ/Cutscene/Int_SEQ_CoffeeServer/Meshes/SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_01.SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_01,SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_01,SkeletalMesh,交互序列
SilverPalace/Content/ArtRes/EnvRes/Interaction/SEQ/Cutscene/Int_SEQ_CoffeeServer/Meshes/SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_02.SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_02,SK_Int_SEQ_Cutscene_CoffeeServer_A_Metal_02,SkeletalMesh,交互序列
