category,mesh_path,mesh_name,mesh_class,lod_index,triangle_count,vertex_count
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,4,94,108
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,5,59,73
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,0,1211,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,1,346,290
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,2,194,171
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,3,132,122
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,4,68,82
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,5,38,52
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,0,1596,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,1,200,170
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,2,136,122
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,3,88,86
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,4,50,64
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,5,28,40
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,0,745,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,1,1892,1374
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,2,884,706
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,3,416,412
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,4,260,316
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,5,80,124
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,0,346,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,1,560,746
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,2,384,538
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,3,208,262
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,4,80,114
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,5,52,74
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,0,329,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,1,2706,2199
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,2,1360,1349
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,3,686,716
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,4,371,465
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,5,156,252
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,0,255,356
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,1,127,232
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,2,64,126
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,3,64,126
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,4,64,126
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,0,3791,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,1,8743,7033
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,2,4379,4280
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,3,2308,2379
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,4,1154,1422
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,5,216,358
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,0,2984,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,1,17555,14447
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,2,8899,9100
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,3,6920,7744
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,4,3936,5108
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,5,199,403
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,0,856,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,1,2300,1583
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,2,1132,932
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,3,578,499
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,4,270,296
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,5,114,154
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,0,560,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,1,1268,938
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,2,684,608
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,3,330,304
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,4,162,188
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,5,72,102
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,0,656,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,1,1268,948
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,2,684,614
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,3,330,310
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,4,162,192
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,5,72,106
